txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
30;31;0;4;0;7382;-21.542807;-29.0;-13.0;-23.0;-21.0;-19.0;3.659612;0.002432;979;75.691522;2.227096;488;1338125914356;1338890651354
30;31;0;5;0;7363;-16.597990;-22.0;-11.0;-18.0;-17.0;-15.0;2.727456;0.005000;986;75.360041;2.915247;497;1338125914356;1338890651354
30;31;0;6;0;7316;-17.211728;-22.0;-12.0;-18.0;-17.0;-15.0;2.530228;0.011351;984;77.264228;2.726849;491;1338125914356;1338890651354
30;31;0;7;0;7100;-34.936056;-40.0;-31.0;-36.0;-35.0;-33.0;2.394145;0.040541;988;76.926113;1.173675;488;1338125914356;1338890651354
30;31;0;10;0;7321;-18.967764;-27.0;-13.0;-21.0;-19.0;-17.0;2.940354;0.010676;974;76.190965;2.517050;495;1338125914356;1338890651354
30;31;0;12;0;7333;-18.940134;-24.0;-15.0;-20.0;-19.0;-17.0;1.695953;0.009054;979;74.365679;3.297003;494;1338125914356;1338890651354
30;31;0;13;0;7381;-16.946755;-25.0;-9.0;-19.0;-17.0;-15.0;2.956782;0.002568;983;76.492370;2.831610;492;1338125914356;1338890651354
30;31;0;14;0;7353;-33.373589;-37.0;-31.0;-34.0;-33.0;-32.0;1.637793;0.006351;980;77.650000;1.521702;497;1338125914356;1338890651354
30;31;0;15;0;6317;-44.728352;-46.0;-43.0;-45.0;-44.0;-44.0;1.123744;0.146351;978;74.123722;0.586464;485;1338125914356;1338890651354
30;31;0;17;0;7290;-35.146639;-39.0;-31.0;-36.0;-35.0;-34.0;1.888301;0.014865;973;75.262076;1.065823;495;1338125914356;1338890651354
30;31;0;22;0;7333;-8.462021;-16.0;-2.0;-10.0;-8.0;-6.0;2.305993;0.009054;985;74.157360;3.205783;494;1338125914356;1338890651354
30;31;0;25;0;7330;-17.300136;-23.0;-12.0;-19.0;-17.0;-16.0;1.412172;0.009459;992;74.673387;2.543700;485;1338125914356;1338890651354
30;31;0;28;0;7352;-19.562024;-29.0;-11.0;-22.0;-20.0;-17.0;3.422097;0.006486;982;77.139511;2.465643;497;1338125914356;1338890651354
30;31;0;29;0;7304;-28.546961;-48.0;-19.0;-33.0;-29.0;-23.0;5.703043;0.012973;988;71.915992;1.217080;493;1338125914356;1338890651354
30;31;0;31;0;7327;-12.068923;-20.0;-8.0;-14.0;-13.0;-10.0;2.053283;0.009865;981;73.527013;3.558912;497;1338125914356;1338890651354
30;31;0;32;0;7368;-18.108713;-22.0;-14.0;-19.0;-18.0;-17.0;2.062875;0.004324;986;77.217039;2.608373;494;1338125914356;1338890651354
30;31;0;33;0;7243;-27.770951;-44.0;-19.0;-32.0;-28.0;-23.0;5.545661;0.021216;985;76.019289;1.517725;495;1338125914356;1338890651354
30;31;0;35;0;7370;5.418046;4.0;6.0;5.0;6.0;6.0;0.724595;0.004054;981;74.930683;4.348972;481;1338125914356;1338890651354
30;31;0;36;0;7358;-17.710383;-26.0;-10.0;-20.0;-18.0;-16.0;3.371877;0.005676;985;74.995939;2.247398;494;1338125914356;1338890651354
30;31;0;37;0;7349;-22.370935;-26.0;-20.0;-23.0;-22.0;-21.0;1.463251;0.006892;983;75.067141;2.627128;492;1338125914356;1338890651354
30;31;0;41;0;7348;-17.452504;-22.0;-14.0;-19.0;-17.0;-17.0;1.621971;0.007027;984;77.489837;2.611481;487;1338125914356;1338890651354
30;31;0;42;0;7361;-2.428882;-8.0;0.0;-4.0;-2.0;-1.0;1.799042;0.005270;989;74.621840;2.618172;497;1338125914356;1338890651354
30;31;0;43;0;6102;-40.881186;-48.0;-35.0;-43.0;-41.0;-39.0;2.693149;0.175405;981;76.372069;0.744500;487;1338125914356;1338890651354
30;31;0;44;0;7326;-14.803576;-20.0;-9.0;-16.0;-15.0;-13.0;2.451227;0.010000;985;74.160406;3.149180;491;1338125914356;1338890651354
30;31;0;46;0;7013;-28.623414;-38.0;-19.0;-31.0;-28.0;-26.0;3.842827;0.052297;981;76.510703;2.319205;493;1338125914356;1338890651354
30;31;0;47;0;7366;-21.374016;-23.0;-20.0;-22.0;-21.0;-21.0;1.502683;0.004595;977;76.564995;2.807361;487;1338125914356;1338890651354
30;31;0;48;0;7360;-24.876359;-30.0;-20.0;-26.0;-25.0;-23.0;2.059632;0.005405;987;75.164134;1.775255;498;1338125914356;1338890651354
30;31;0;50;0;7362;-20.087748;-24.0;-16.0;-21.0;-21.0;-19.0;1.922889;0.005135;989;74.969666;2.150955;494;1338125914356;1338890651354
30;31;16;4;0;7364;-21.762765;-29.0;-13.0;-23.0;-22.0;-19.0;4.018404;0.004865;988;75.913968;3.375771;494;1338126034654;1338890771816
30;31;16;5;0;7362;-16.470388;-22.0;-11.0;-18.0;-17.0;-15.0;2.606150;0.005135;980;75.416327;3.105259;497;1338126034654;1338890771816
30;31;16;6;0;7313;-17.251743;-25.0;-12.0;-19.0;-17.0;-15.0;2.416764;0.011757;990;77.450505;3.473004;496;1338126034654;1338890771816
30;31;16;7;0;6993;-34.671672;-40.0;-29.0;-36.0;-34.0;-33.0;2.419829;0.055000;986;77.001014;1.454208;496;1338126034654;1338890771816
30;31;16;10;0;7327;-18.988263;-27.0;-14.0;-21.0;-19.0;-17.0;3.031120;0.009865;985;76.203046;2.664009;485;1338126034654;1338890771816
30;31;16;12;0;7323;-18.900178;-24.0;-16.0;-20.0;-19.0;-17.0;1.881930;0.010405;982;74.295316;2.966747;493;1338126034654;1338890771816
30;31;16;13;0;7388;-16.944505;-25.0;-9.0;-19.0;-17.0;-15.0;2.909707;0.001622;984;76.600610;3.381182;493;1338126034654;1338890771816
30;31;16;14;0;7335;-33.422631;-37.0;-30.0;-34.0;-33.0;-32.0;1.768426;0.008784;982;77.678208;1.600304;488;1338126034654;1338890771816
30;31;16;15;0;6133;-44.669982;-46.0;-43.0;-45.0;-44.0;-44.0;1.118985;0.171216;977;74.218014;1.014527;497;1338126034654;1338890771816
30;31;16;17;0;7331;-35.140226;-41.0;-30.0;-37.0;-35.0;-34.0;2.054438;0.009324;984;75.400407;1.812200;493;1338126034654;1338890771816
30;31;16;22;0;7320;-8.374727;-16.0;-2.0;-10.0;-8.0;-6.0;2.217912;0.010811;991;74.460141;4.887644;495;1338126034654;1338890771816
30;31;16;25;0;7334;-17.193073;-21.0;-14.0;-18.0;-17.0;-16.0;1.327396;0.008919;983;74.758901;3.075403;498;1338126034654;1338890771816
30;31;16;28;0;7342;-19.380278;-29.0;-11.0;-22.0;-19.0;-17.0;3.324158;0.007838;980;77.219388;3.102576;492;1338126034654;1338890771816
30;31;16;29;0;7342;-28.140016;-48.0;-21.0;-33.0;-26.0;-23.0;5.504862;0.007838;984;72.077236;2.450762;496;1338126034654;1338890771816
30;31;16;31;0;7342;-12.138382;-17.0;-8.0;-14.0;-13.0;-10.0;2.007933;0.007838;985;73.837563;4.967374;489;1338126034654;1338890771816
30;31;16;32;0;7365;-18.155737;-22.0;-14.0;-19.0;-18.0;-17.0;1.888470;0.004730;982;77.246436;2.652939;490;1338126034654;1338890771816
30;31;16;33;0;7246;-27.668093;-44.0;-19.0;-32.0;-26.0;-23.0;5.528878;0.020811;983;76.157681;2.392827;489;1338126034654;1338890771816
30;31;16;35;0;7371;5.472392;4.0;6.0;5.0;6.0;6.0;0.673508;0.003919;983;75.032553;5.007627;505;1338126034654;1338890771816
30;31;16;36;0;7361;-17.617036;-23.0;-12.0;-19.0;-18.0;-16.0;3.745276;0.005270;980;75.219388;3.591477;500;1338126034654;1338890771816
30;31;16;37;0;7341;-22.306906;-26.0;-20.0;-23.0;-22.0;-21.0;1.513497;0.007973;990;75.254545;3.527425;495;1338126034654;1338890771816
30;31;16;41;0;7336;-17.466739;-22.0;-14.0;-19.0;-17.0;-17.0;1.560761;0.008649;978;77.558282;3.030581;492;1338126034654;1338890771816
30;31;16;42;0;7356;-2.389070;-6.0;0.0;-4.0;-2.0;-1.0;1.721085;0.005946;976;74.996926;5.073712;488;1338126034654;1338890771816
30;31;16;43;0;5946;-40.859233;-46.0;-34.0;-43.0;-41.0;-39.0;2.677859;0.196486;980;76.378571;0.862657;498;1338126034654;1338890771816
30;31;16;44;0;7325;-14.663891;-20.0;-9.0;-16.0;-15.0;-13.0;2.349933;0.010135;983;74.306205;3.944476;496;1338126034654;1338890771816
30;31;16;46;0;7111;-28.502742;-40.0;-21.0;-31.0;-28.0;-25.0;3.711345;0.039054;980;76.368367;1.497707;491;1338126034654;1338890771816
30;31;16;47;0;7381;-21.319062;-23.0;-20.0;-22.0;-21.0;-21.0;1.509303;0.002568;977;76.618219;3.083635;493;1338126034654;1338890771816
30;31;16;48;0;7346;-24.994419;-30.0;-20.0;-26.0;-25.0;-23.0;2.036521;0.007297;976;75.342213;2.761586;485;1338126034654;1338890771816
