txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
15;31;0;4;0;7159;-41.997486;-48.0;-35.0;-44.0;-42.0;-40.0;2.342137;0.032568;971;75.530381;0.767815;493;1338127358056;1338892098510
15;31;0;5;0;10;-47.800000;-48.0;-48.0;-48.0;-48.0;-48.0;0.421637;0.998649;981;75.177370;0.915366;496;1338127358056;1338892098510
15;31;0;6;0;54;-46.055556;-47.0;-45.0;-47.0;-46.0;-46.0;0.711540;0.992703;986;77.066937;0.614199;488;1338127358056;1338892098510
15;31;0;7;0;7397;-21.715425;-30.0;-14.0;-24.0;-21.0;-20.0;2.384259;0.000405;989;77.077856;2.461650;497;1338127358056;1338892098510
15;31;0;10;0;3884;-45.627961;-47.0;-44.0;-46.0;-46.0;-45.0;0.710360;0.475135;988;75.998988;0.542984;491;1338127358056;1338892098510
15;31;0;12;0;5125;-47.021659;-50.0;-43.0;-48.0;-47.0;-46.0;1.282090;0.307432;983;74.088505;1.128821;490;1338127358056;1338892098510
15;31;0;13;0;7349;-40.283032;-42.0;-39.0;-41.0;-40.0;-40.0;1.216119;0.006892;981;76.314985;1.301361;488;1338127358056;1338892098510
15;31;0;14;0;7399;-11.641843;-16.0;-8.0;-13.0;-12.0;-11.0;1.462281;0.000135;987;77.606890;1.392341;488;1338127358056;1338892098510
15;31;0;17;0;7400;-12.121351;-16.0;-8.0;-13.0;-12.0;-11.0;1.801736;0.000000;980;75.340816;2.312679;496;1338127358056;1338892098510
15;31;0;22;0;3370;-46.943027;-49.0;-46.0;-48.0;-47.0;-47.0;1.422069;0.544595;983;73.897253;0.592401;493;1338127358056;1338892098510
15;31;0;25;0;2857;-46.967798;-50.0;-43.0;-48.0;-47.0;-46.0;1.048715;0.613919;975;74.550769;0.794770;492;1338127358056;1338892098510
15;31;0;28;0;7361;-31.166146;-35.0;-27.0;-32.0;-31.0;-30.0;1.608816;0.005270;983;77.056968;1.934469;483;1338127358056;1338892098510
15;31;0;29;0;3584;-50.498605;-52.0;-49.0;-51.0;-51.0;-50.0;0.673238;0.515676;988;71.898785;1.041139;492;1338127358056;1338892098510
15;31;0;30;0;7336;-41.349100;-48.0;-37.0;-43.0;-41.0;-39.0;2.064104;0.008649;983;73.688708;1.279139;487;1338127358056;1338892098510
15;31;0;31;0;4402;-46.792594;-51.0;-44.0;-48.0;-47.0;-45.0;1.394282;0.405135;975;73.318974;1.360109;492;1338127358056;1338892098510
15;31;0;33;0;6988;-36.981683;-48.0;-25.0;-41.0;-35.0;-33.0;4.417033;0.055676;975;76.081026;1.650897;491;1338127358056;1338892098510
15;31;0;35;0;5707;-44.795514;-49.0;-41.0;-46.0;-45.0;-44.0;1.979848;0.228784;979;74.681307;1.313983;496;1338127358056;1338892098510
15;31;0;36;0;487;-47.174538;-49.0;-45.0;-48.0;-47.0;-46.0;0.960286;0.934189;984;74.875000;0.566642;493;1338127358056;1338892098510
15;31;0;37;0;7386;-30.399675;-42.0;-21.0;-33.0;-30.0;-27.0;3.950612;0.001892;990;74.972727;2.089084;489;1338127358056;1338892098510
15;31;0;41;0;3864;-40.945652;-47.0;-33.0;-43.0;-41.0;-39.0;2.480814;0.477838;981;77.298675;0.889559;494;1338127358056;1338892098510
15;31;0;42;0;6982;-44.642080;-46.0;-43.0;-45.0;-45.0;-44.0;1.180498;0.056486;976;74.540984;1.370143;497;1338127358056;1338892098510
15;31;0;43;0;7400;-12.303649;-18.0;-7.0;-14.0;-13.0;-11.0;2.171916;0.000000;976;76.593238;2.841364;494;1338127358056;1338892098510
15;31;0;44;0;2517;-47.411601;-50.0;-43.0;-48.0;-48.0;-46.0;1.404566;0.659865;976;73.918033;0.930091;496;1338127358056;1338892098510
15;31;0;46;0;6237;-38.878147;-47.0;-27.0;-42.0;-39.0;-36.0;3.805641;0.157162;994;76.373239;1.199416;483;1338127358056;1338892098510
15;31;0;47;0;7394;-31.507303;-35.0;-27.0;-32.0;-31.0;-30.0;2.012006;0.000811;981;76.395515;1.449328;497;1338127358056;1338892098510
15;31;0;48;0;7391;-29.032337;-38.0;-23.0;-31.0;-29.0;-26.0;3.223377;0.001216;980;75.084694;0.886841;497;1338127358056;1338892098510
15;31;0;50;0;128;-48.515625;-49.0;-48.0;-49.0;-49.0;-48.0;0.501719;0.982703;984;74.860772;0.468679;490;1338127358056;1338892098510
15;31;16;4;0;7035;-42.229140;-48.0;-36.0;-44.0;-42.0;-40.0;2.162263;0.049324;977;75.615148;1.327243;495;1338127478343;1338892218814
15;31;16;5;0;6;-47.500000;-48.0;-47.0;-48.0;-47.5;-47.0;0.547723;0.999189;974;75.186858;0.915770;488;1338127478343;1338892218814
15;31;16;6;0;3;-46.333333;-47.0;-46.0;-46.5;-46.0;-46.0;0.577350;0.999595;981;77.086646;0.926721;492;1338127478343;1338892218814
15;31;16;7;0;7400;-21.542838;-27.0;-16.0;-23.0;-21.0;-20.0;2.270658;0.000000;980;77.176531;2.851170;485;1338127478343;1338892218814
15;31;16;10;0;3595;-45.577747;-47.0;-44.0;-46.0;-46.0;-45.0;0.611752;0.514189;983;76.009156;0.746286;495;1338127478343;1338892218814
15;31;16;12;0;4802;-46.935444;-50.0;-43.0;-48.0;-47.0;-46.0;1.161594;0.351081;987;74.124620;1.085434;497;1338127478343;1338892218814
15;31;16;13;0;7323;-40.250444;-44.0;-37.0;-41.0;-40.0;-39.0;1.268441;0.010405;985;76.458883;1.846934;493;1338127478343;1338892218814
15;31;16;14;0;7400;-11.483514;-16.0;-7.0;-13.0;-12.0;-10.0;1.528660;0.000000;980;77.681633;2.262784;496;1338127478343;1338892218814
15;31;16;17;0;7400;-12.016486;-16.0;-9.0;-13.0;-12.0;-11.0;1.806267;0.000000;980;75.234694;1.322401;494;1338127478343;1338892218814
15;31;16;22;0;3245;-46.910940;-49.0;-46.0;-48.0;-47.0;-47.0;1.318238;0.561486;974;74.002053;1.161207;499;1338127478343;1338892218814
15;31;16;25;0;2590;-46.808108;-48.0;-45.0;-47.0;-47.0;-46.0;0.899257;0.650000;979;74.605720;1.124103;500;1338127478343;1338892218814
15;31;16;28;0;7333;-31.115096;-35.0;-28.0;-32.0;-31.0;-30.0;1.388464;0.009054;988;77.032389;1.477615;497;1338127478343;1338892218814
15;31;16;29;0;2800;-50.316071;-52.0;-49.0;-51.0;-50.0;-50.0;0.747815;0.621622;980;71.874490;0.779960;489;1338127478343;1338892218814
15;31;16;30;0;7276;-41.290544;-49.0;-37.0;-43.0;-41.0;-39.0;2.089206;0.016757;983;73.815870;1.879700;498;1338127478343;1338892218814
15;31;16;31;0;4335;-46.674279;-51.0;-43.0;-48.0;-47.0;-45.0;1.401766;0.414189;982;73.312627;1.055553;501;1338127478343;1338892218814
15;31;16;33;0;6970;-36.431133;-48.0;-27.0;-40.0;-35.0;-33.0;4.172411;0.058108;977;76.081883;1.663078;490;1338127478343;1338892218814
15;31;16;35;0;5373;-44.686209;-49.0;-39.0;-46.0;-45.0;-43.0;1.998275;0.273919;979;74.634321;1.647048;494;1338127478343;1338892218814
15;31;16;36;0;429;-47.037296;-49.0;-45.0;-48.0;-47.0;-46.0;1.084516;0.942027;982;74.922607;1.049304;493;1338127478343;1338892218814
15;31;16;37;0;7390;-30.312855;-39.0;-20.0;-32.0;-30.0;-27.0;3.679740;0.001351;978;75.072597;2.555794;492;1338127478343;1338892218814
15;31;16;41;0;3886;-40.836850;-47.0;-33.0;-43.0;-41.0;-39.0;2.599107;0.474865;975;77.358974;1.219435;490;1338127478343;1338892218814
15;31;16;42;0;6995;-44.558542;-46.0;-43.0;-45.0;-45.0;-44.0;1.320998;0.054730;977;74.628454;1.411359;492;1338127478343;1338892218814
15;31;16;43;0;7400;-12.430676;-18.0;-7.0;-14.0;-13.0;-11.0;2.381974;0.000000;984;76.948171;4.745438;496;1338127478343;1338892218814
15;31;16;44;0;2233;-47.272279;-50.0;-43.0;-48.0;-48.0;-46.0;1.358376;0.698243;980;74.004082;1.247667;500;1338127478343;1338892218814
15;31;16;46;0;6164;-38.990104;-47.0;-30.0;-42.0;-38.0;-37.0;3.488476;0.167027;987;76.345491;1.294859;502;1338127478343;1338892218814
15;31;16;47;0;7397;-31.356901;-35.0;-27.0;-32.0;-31.0;-30.0;1.921379;0.000405;975;76.554872;2.297846;495;1338127478343;1338892218814
15;31;16;48;0;7398;-28.779941;-38.0;-23.0;-31.0;-29.0;-26.0;3.110505;0.000270;977;75.358240;2.550035;492;1338127478343;1338892218814
15;31;16;50;0;33;-48.151515;-49.0;-47.0;-49.0;-48.0;-48.0;0.618527;0.995541;976;74.867828;0.816465;498;1338127478343;1338892218814
15;31;64;4;0;6882;-41.999564;-48.0;-37.0;-44.0;-42.0;-40.0;2.200296;0.070000;984;75.726626;1.713290;489;1338127598639;1338892339074
15;31;64;5;0;3;-47.333333;-48.0;-47.0;-47.5;-47.0;-47.0;0.577350;0.999595;979;75.170582;1.295151;492;1338127598639;1338892339074
15;31;64;6;0;5;-46.200000;-46.0;-46.0;-46.0;-46.0;-46.0;0.447214;0.999324;981;77.133537;0.929948;497;1338127598639;1338892339074
15;31;64;7;0;7399;-21.795648;-30.0;-15.0;-24.0;-21.0;-20.0;2.848975;0.000135;980;77.635714;4.572975;503;1338127598639;1338892339074
15;31;64;10;0;3162;-45.492726;-47.0;-44.0;-46.0;-45.0;-45.0;0.586771;0.572703;978;76.080777;0.991581;492;1338127598639;1338892339074
15;31;64;12;0;4302;-46.886797;-50.0;-44.0;-48.0;-47.0;-46.0;1.065171;0.418649;982;74.121181;0.887436;497;1338127598639;1338892339074
15;31;64;13;0;7258;-40.174566;-44.0;-37.0;-41.0;-40.0;-39.0;1.344269;0.019189;985;76.594924;2.396087;490;1338127598639;1338892339074
