txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
44;31;0;4;0;7359;-26.777687;-43.0;-13.0;-31.0;-28.0;-23.0;4.834194;0.005541;984;75.698171;2.090855;494;1338125553485;1338890290222
44;31;0;5;0;7393;-18.582443;-27.0;-11.0;-21.0;-18.0;-17.0;3.214045;0.000946;979;75.330950;2.748261;489;1338125553485;1338890290222
44;31;0;6;0;7400;-11.626757;-16.0;-8.0;-13.0;-11.0;-11.0;1.385690;0.000000;975;77.154872;2.103486;491;1338125553485;1338890290222
44;31;0;7;0;4579;-42.376720;-48.0;-37.0;-44.0;-43.0;-40.0;2.247136;0.381216;978;76.918200;0.780688;489;1338125553485;1338890290222
44;31;0;10;0;7400;-12.246081;-16.0;-8.0;-14.0;-13.0;-9.0;2.290407;0.000000;982;76.172098;2.698947;491;1338125553485;1338890290222
44;31;0;12;0;7400;-4.618649;-10.0;0.0;-6.0;-6.0;-3.0;1.922116;0.000000;980;74.127551;2.112044;486;1338125553485;1338890290222
44;31;0;13;0;7398;-15.578805;-17.0;-14.0;-16.0;-16.0;-15.0;2.062284;0.000270;981;76.358818;2.250555;494;1338125553485;1338890290222
44;31;0;14;0;7387;-36.931231;-41.0;-33.0;-38.0;-37.0;-36.0;1.270969;0.001757;983;77.582909;0.898626;496;1338125553485;1338890290222
44;31;0;15;0;112;-48.089286;-48.0;-48.0;-48.0;-48.0;-48.0;0.546134;0.984865;986;74.097363;0.535684;490;1338125553485;1338890290222
44;31;0;17;0;4453;-44.890411;-49.0;-41.0;-46.0;-45.0;-44.0;1.837424;0.398243;986;75.238337;0.612054;497;1338125553485;1338890290222
44;31;0;22;0;7383;-24.510633;-28.0;-20.0;-25.0;-24.0;-23.0;2.800775;0.002297;973;74.000000;2.057807;490;1338125553485;1338890290222
44;31;0;25;0;7400;-10.699595;-19.0;-4.0;-13.0;-10.0;-9.0;2.621895;0.000000;979;74.724208;2.893038;493;1338125553485;1338890290222
44;31;0;28;0;7398;-15.957015;-20.0;-12.0;-17.0;-16.0;-15.0;1.468995;0.000270;977;77.093142;2.317636;491;1338125553485;1338890290222
44;31;0;29;0;7385;-27.349357;-36.0;-17.0;-29.0;-26.0;-24.0;4.570808;0.002027;977;71.882293;1.130548;495;1338125553485;1338890290222
44;31;0;30;0;7395;-17.173090;-21.0;-14.0;-18.0;-17.0;-16.0;1.727377;0.000676;984;73.793699;2.458014;486;1338125553485;1338890290222
44;31;0;31;0;7399;-11.024192;-17.0;-8.0;-13.0;-10.0;-9.0;1.985847;0.000135;980;73.535714;3.500730;496;1338125553485;1338890290222
44;31;0;32;0;7398;-22.482968;-30.0;-17.0;-24.0;-23.0;-20.0;3.275535;0.000270;975;77.097436;1.635635;495;1338125553485;1338890290222
44;31;0;33;0;7400;-20.146622;-23.0;-18.0;-21.0;-20.0;-19.0;1.044484;0.000000;983;76.030519;1.816165;493;1338125553485;1338890290222
44;31;0;35;0;7378;-15.499187;-25.0;-9.0;-18.0;-15.0;-13.0;3.038600;0.002973;986;74.842799;3.233491;492;1338125553485;1338890290222
44;31;0;36;0;7400;-11.583108;-19.0;-5.0;-14.0;-11.0;-10.0;2.156685;0.000000;983;75.142421;3.433699;488;1338125553485;1338890290222
44;31;0;37;0;7399;-27.848088;-32.0;-24.0;-29.0;-28.0;-27.0;1.497373;0.000135;980;75.014286;2.083497;491;1338125553485;1338890290222
44;31;0;41;0;7396;-13.823688;-18.0;-10.0;-15.0;-14.0;-13.0;1.478998;0.000541;982;77.465377;2.681975;496;1338125553485;1338890290222
44;31;0;42;0;7400;-11.758784;-20.0;-8.0;-14.0;-12.0;-10.0;2.318486;0.000000;980;74.663265;2.968145;496;1338125553485;1338890290222
44;31;0;43;0;7393;-36.641418;-42.0;-33.0;-38.0;-36.0;-35.0;1.730425;0.000946;984;76.380081;0.935265;491;1338125553485;1338890290222
44;31;0;46;0;6828;-36.532074;-44.0;-29.0;-38.0;-35.0;-34.0;3.606911;0.077297;985;76.383756;1.515147;488;1338125553485;1338890290222
44;31;0;47;0;7396;-33.706193;-39.0;-30.0;-35.0;-33.0;-32.0;1.999072;0.000541;981;76.398573;1.427556;496;1338125553485;1338890290222
44;31;0;48;0;7394;-32.357587;-36.0;-29.0;-33.0;-32.0;-31.0;2.169989;0.000811;987;75.219858;1.751062;493;1338125553485;1338890290222
44;31;0;50;0;7400;-11.006216;-14.0;-5.0;-13.0;-11.0;-9.0;2.247845;0.000000;983;75.165819;3.640121;493;1338125553485;1338890290222
44;31;16;4;0;7336;-26.525218;-40.0;-16.0;-30.0;-27.0;-23.0;4.490046;0.008649;982;75.791242;2.658666;500;1338125673778;1338890410542
44;31;16;5;0;7397;-18.585102;-28.0;-11.0;-21.0;-19.0;-16.0;3.129737;0.000405;980;75.419388;3.172377;489;1338125673778;1338890410542
44;31;16;6;0;7400;-11.582162;-17.0;-9.0;-13.0;-11.0;-10.0;1.388270;0.000000;983;77.306205;3.191580;494;1338125673778;1338890410542
44;31;16;7;0;4478;-42.319339;-48.0;-36.0;-44.0;-43.0;-40.0;2.273825;0.394865;977;76.962129;0.863418;490;1338125673778;1338890410542
