txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
4;31;0;5;0;1;-31.000000;-31.0;-31.0;-31.0;-31.0;-31.0;NaN;0.999865;985;75.245685;2.033396;485;1338128440628;1338893183548
4;31;0;7;0;8;-39.250000;-41.0;-37.0;-40.0;-39.5;-38.5;1.281740;0.998919;986;76.939148;0.921458;497;1338128440628;1338893183548
4;31;0;10;0;1;-18.000000;-18.0;-18.0;-18.0;-18.0;-18.0;NaN;0.999865;986;76.253550;2.968637;491;1338128440628;1338893183548
4;31;0;12;0;119;-34.092437;-34.0;-34.0;-34.0;-34.0;-34.0;0.567355;0.983919;983;74.246185;2.387685;497;1338128440628;1338893183548
4;31;0;14;0;31;-40.741935;-42.0;-39.0;-41.0;-41.0;-40.0;1.413453;0.995811;984;77.616870;0.788111;492;1338128440628;1338893183548
4;31;0;15;0;5;-45.400000;-46.0;-45.0;-46.0;-45.0;-45.0;0.547723;0.999324;978;74.138037;0.699733;496;1338128440628;1338893183548
4;31;0;17;0;1;-38.000000;-38.0;-38.0;-38.0;-38.0;-38.0;NaN;0.999865;977;75.299898;1.097281;498;1338128440628;1338893183548
4;31;0;32;0;17;-37.117647;-41.0;-34.0;-39.0;-36.0;-35.0;2.288077;0.997703;980;77.094898;1.503885;489;1338128440628;1338893183548
4;31;0;43;0;4;-42.500000;-44.0;-39.0;-44.0;-43.5;-41.0;2.380476;0.999459;987;76.331307;0.525865;497;1338128440628;1338893183548
4;31;0;46;0;40;-37.175000;-39.0;-33.0;-38.0;-37.0;-36.0;1.375379;0.994595;991;76.451060;2.112344;490;1338128440628;1338893183548
4;31;0;50;0;1;-42.000000;-42.0;-42.0;-42.0;-42.0;-42.0;NaN;0.999865;979;74.940756;1.642534;494;1338128440628;1338893183548
4;31;16;5;0;1;-43.000000;-43.0;-43.0;-43.0;-43.0;-43.0;NaN;0.999865;981;75.386340;2.392287;499;1338128560910;1338893303836
4;31;16;7;0;3;-40.333333;-41.0;-40.0;-40.5;-40.0;-40.0;0.577350;0.999595;985;77.020305;1.460731;490;1338128560910;1338893303836
4;31;16;12;0;62;-33.435484;-35.0;-32.0;-34.0;-33.0;-33.0;0.880033;0.991622;981;74.336391;2.958728;492;1338128560910;1338893303836
4;31;16;14;0;35;-40.342857;-42.0;-39.0;-41.0;-41.0;-40.0;1.370763;0.995270;983;77.633774;1.155946;495;1338128560910;1338893303836
4;31;16;15;0;2;-45.000000;-45.0;-45.0;-45.0;-45.0;-45.0;0.000000;0.999730;988;74.165992;0.755109;487;1338128560910;1338893303836
4;31;16;32;0;11;-38.545455;-40.0;-37.0;-39.5;-39.0;-37.5;1.213560;0.998514;979;77.171604;1.814273;494;1338128560910;1338893303836
4;31;16;37;0;4;-43.250000;-44.0;-41.0;-44.0;-44.0;-42.5;1.500000;0.999459;984;75.032520;2.255537;493;1338128560910;1338893303836
4;31;16;43;0;6;-42.666667;-44.0;-43.0;-44.0;-43.5;-43.0;2.338090;0.999189;983;76.440488;1.026268;499;1338128560910;1338893303836
4;31;16;46;0;49;-36.897959;-39.0;-34.0;-38.0;-37.0;-36.0;1.228904;0.993378;981;76.482161;2.280561;493;1338128560910;1338893303836
4;31;64;5;0;1;-31.000000;-31.0;-31.0;-31.0;-31.0;-31.0;NaN;0.999865;982;75.506110;2.906891;495;1338128681215;1338893424348
4;31;64;7;0;3;-39.000000;-41.0;-37.0;-40.0;-39.0;-38.0;2.000000;0.999595;978;77.149284;1.893318;492;1338128681215;1338893424348
4;31;64;12;0;86;-34.000000;-35.0;-33.0;-35.0;-34.0;-33.0;0.782154;0.988378;981;74.660550;4.054723;493;1338128681215;1338893424348
4;31;64;14;0;12;-40.166667;-42.0;-38.0;-41.0;-41.0;-38.5;1.527525;0.998378;981;77.776758;1.713723;494;1338128681215;1338893424348
4;31;64;17;0;1;-42.000000;-42.0;-42.0;-42.0;-42.0;-42.0;NaN;0.999865;987;75.442756;1.725455;490;1338128681215;1338893424348
4;31;64;30;0;1;-19.000000;-19.0;-19.0;-19.0;-19.0;-19.0;NaN;0.999865;979;74.487232;5.003331;492;1338128681215;1338893424348
4;31;64;32;0;8;-38.375000;-41.0;-36.0;-40.0;-38.5;-36.5;1.922610;0.998919;982;77.447047;3.278874;490;1338128681215;1338893424348
4;31;64;37;0;1;-44.000000;-44.0;-44.0;-44.0;-44.0;-44.0;NaN;0.999865;983;75.153611;2.653401;492;1338128681215;1338893424348
4;31;64;43;0;1;-40.000000;-40.0;-40.0;-40.0;-40.0;-40.0;NaN;0.999865;976;76.493852;1.256761;486;1338128681215;1338893424348
4;31;64;46;0;39;-36.487179;-38.0;-35.0;-37.0;-37.0;-36.0;1.484513;0.994730;985;76.796954;3.507453;496;1338128681215;1338893424348
4;31;64;50;0;1;-39.000000;-39.0;-39.0;-39.0;-39.0;-39.0;NaN;0.999865;984;75.263211;3.359872;493;1338128681215;1338893424348
4;27;0;5;0;5010;-32.077844;-44.0;-20.0;-35.0;-31.0;-29.0;4.065486;0.322973;984;75.283537;1.976951;497;1338128455658;1338893198584
4;27;0;6;0;5919;-19.925156;-24.0;-17.0;-21.0;-20.0;-19.0;1.349643;0.200135;976;77.296107;2.840987;489;1338128455658;1338893198584
4;27;0;7;0;4219;-38.102394;-44.0;-33.0;-40.0;-38.0;-37.0;2.183159;0.429865;981;76.988787;1.129781;494;1338128455658;1338893198584
4;27;0;10;0;5444;-20.303270;-24.0;-17.0;-21.0;-21.0;-19.0;1.190962;0.264324;981;76.224261;2.610157;484;1338128455658;1338893198584
4;27;0;12;0;3636;-27.708471;-37.0;-17.0;-34.0;-28.0;-21.0;6.454645;0.508649;982;74.190428;1.868618;496;1338128455658;1338893198584
4;27;0;13;0;5179;-12.470361;-17.0;-9.0;-15.0;-13.0;-10.0;2.346081;0.300135;987;76.454914;2.705029;487;1338128455658;1338893198584
4;27;0;14;0;4872;-39.436576;-45.0;-34.0;-41.0;-40.0;-38.0;2.191153;0.341622;983;77.604273;0.853328;499;1338128455658;1338893198584
4;27;0;15;0;1087;-45.978841;-48.0;-43.0;-47.0;-46.0;-45.0;1.054026;0.853108;982;74.118126;0.612724;492;1338128455658;1338893198584
4;27;0;17;0;4502;-39.767659;-47.0;-32.0;-42.0;-40.0;-38.0;3.014627;0.391622;984;75.294715;0.959258;494;1338128455658;1338893198584
4;27;0;22;0;4837;-20.703329;-24.0;-15.0;-23.0;-21.0;-19.0;2.043736;0.346351;980;74.132653;2.890009;492;1338128455658;1338893198584
4;27;0;25;0;5442;-21.266814;-27.0;-16.0;-23.0;-21.0;-20.0;2.540703;0.264595;978;74.622699;1.843347;488;1338128455658;1338893198584
4;27;0;28;0;5422;-1.893028;-2.0;-2.0;-2.0;-2.0;-2.0;0.753270;0.267297;977;77.299898;4.021093;488;1338128455658;1338893198584
4;27;0;29;0;4148;-23.418274;-27.0;-19.0;-24.0;-23.0;-22.0;2.087852;0.439459;981;72.082569;2.697753;496;1338128455658;1338893198584
4;27;0;30;0;5739;-25.490329;-34.0;-19.0;-27.0;-25.0;-22.0;4.478137;0.224459;989;73.754297;1.830161;487;1338128455658;1338893198584
4;27;0;31;0;5578;-12.888849;-15.0;-12.0;-14.0;-13.0;-13.0;1.449471;0.246216;982;73.445010;2.915831;499;1338128455658;1338893198584
4;27;0;32;0;5937;-31.973050;-42.0;-19.0;-38.0;-34.0;-25.0;6.247799;0.197703;986;77.023327;0.784665;496;1338128455658;1338893198584
4;27;0;33;0;4809;-15.661676;-18.0;-12.0;-17.0;-15.0;-15.0;0.967284;0.350135;985;76.143147;2.631658;497;1338128455658;1338893198584
4;27;0;35;0;5506;-11.211951;-14.0;-9.0;-12.0;-11.0;-10.0;1.039078;0.255946;986;74.782961;2.767754;493;1338128455658;1338893198584
4;27;0;36;0;4600;-22.589348;-31.0;-12.0;-26.0;-21.0;-19.0;3.574428;0.378378;989;74.988878;2.250703;495;1338128455658;1338893198584
4;27;0;37;0;4641;-33.146736;-41.0;-25.0;-35.0;-33.0;-31.0;3.471841;0.372838;983;74.868769;1.284433;494;1338128455658;1338893198584
4;27;0;41;0;5830;-10.579588;-12.0;-9.0;-11.0;-10.0;-10.0;0.687931;0.212162;980;77.638776;3.562391;495;1338128455658;1338893198584
4;27;0;42;0;4796;-19.346330;-19.0;-19.0;-19.0;-19.0;-19.0;1.723768;0.351892;983;74.766022;3.217851;488;1338128455658;1338893198584
4;27;0;43;0;2368;-40.573480;-46.0;-36.0;-42.0;-40.0;-39.0;2.360713;0.680000;982;76.414460;0.821670;499;1338128455658;1338893198584
4;27;0;44;0;5750;-27.708696;-40.0;-17.0;-31.0;-29.0;-25.0;4.762311;0.222973;980;73.967347;1.533073;493;1338128455658;1338893198584
4;27;0;46;0;5393;-30.025032;-42.0;-17.0;-34.0;-29.0;-25.0;6.049340;0.271216;979;76.471910;1.834117;491;1338128455658;1338893198584
4;27;0;47;0;5426;-30.017877;-34.0;-26.0;-31.0;-30.0;-29.0;1.846719;0.266757;985;76.410152;1.540213;490;1338128455658;1338893198584
4;27;0;48;0;5779;-21.813809;-27.0;-19.0;-23.0;-21.0;-20.0;2.280125;0.219054;975;75.189744;1.840648;498;1338128455658;1338893198584
4;27;0;50;0;5506;-27.498184;-35.0;-20.0;-29.0;-27.0;-25.0;3.433036;0.255946;979;74.886619;1.110654;490;1338128455658;1338893198584
4;27;16;5;0;5038;-32.467646;-46.0;-21.0;-36.0;-32.0;-29.0;3.970914;0.319189;979;75.174668;1.292234;496;1338128575959;1338893318868
4;27;16;6;0;5955;-19.829051;-24.0;-17.0;-21.0;-20.0;-19.0;1.323413;0.195270;980;77.285714;2.770780;499;1338128575959;1338893318868
4;27;16;7;0;3859;-37.960612;-42.0;-34.0;-39.0;-38.0;-37.0;2.204431;0.478514;981;77.019368;1.299384;491;1338128575959;1338893318868
4;27;16;10;0;5435;-20.242502;-23.0;-17.0;-21.0;-21.0;-19.0;1.175475;0.265541;981;76.231397;2.601505;500;1338128575959;1338893318868
4;27;16;12;0;3557;-27.585606;-37.0;-17.0;-34.0;-27.0;-21.0;6.421613;0.519324;987;74.274569;2.422133;490;1338128575959;1338893318868
4;27;16;13;0;5231;-12.500860;-17.0;-8.0;-14.0;-13.0;-10.0;2.315124;0.293108;978;76.722904;4.006380;492;1338128575959;1338893318868
4;27;16;14;0;4859;-39.497839;-44.0;-34.0;-41.0;-40.0;-38.0;2.121016;0.343378;980;77.651020;1.233118;486;1338128575959;1338893318868
4;27;16;15;0;778;-46.016710;-48.0;-45.0;-47.0;-46.0;-46.0;0.855584;0.894865;983;74.132248;0.601092;495;1338128575959;1338893318868
4;27;16;17;0;4436;-39.401713;-45.0;-34.0;-41.0;-40.0;-38.0;2.832814;0.400541;977;75.274309;0.990987;483;1338128575959;1338893318868
4;27;16;22;0;4804;-20.557036;-29.0;-14.0;-23.0;-20.0;-19.0;2.365049;0.350811;984;74.224593;3.402974;496;1338128575959;1338893318868
4;27;16;25;0;5396;-21.279096;-27.0;-16.0;-23.0;-21.0;-20.0;2.839079;0.270811;981;74.866463;3.220392;497;1338128575959;1338893318868
4;27;16;28;0;5409;-1.794232;-2.0;-2.0;-2.0;-2.0;-2.0;0.839130;0.269054;984;77.523374;5.371211;495;1338128575959;1338893318868
4;27;16;29;0;4154;-23.447520;-27.0;-19.0;-24.0;-23.0;-22.0;2.084944;0.438649;980;72.145918;3.039430;487;1338128575959;1338893318868
4;27;16;30;0;5700;-25.318772;-34.0;-15.0;-27.0;-25.0;-22.0;4.021913;0.229730;978;73.924335;2.955556;497;1338128575959;1338893318868
4;27;16;31;0;5569;-12.766026;-13.0;-13.0;-13.0;-13.0;-13.0;1.339613;0.247432;975;73.482051;3.418970;482;1338128575959;1338893318868
4;27;16;32;0;5999;-31.841974;-43.0;-19.0;-37.0;-34.0;-25.0;6.371988;0.189324;982;77.090631;1.400791;490;1338128575959;1338893318868
4;27;16;33;0;4774;-15.649560;-17.0;-14.0;-16.0;-15.0;-15.0;0.915073;0.354865;980;76.181633;2.813158;482;1338128575959;1338893318868
4;27;16;35;0;5461;-11.104560;-14.0;-10.0;-12.0;-11.0;-10.0;1.004322;0.262027;984;75.028455;4.054964;487;1338128575959;1338893318868
4;27;16;36;0;4553;-22.444762;-31.0;-12.0;-26.0;-21.0;-19.0;3.648144;0.384730;982;75.018330;2.322533;499;1338128575959;1338893318868
4;27;16;37;0;4609;-32.778694;-41.0;-25.0;-35.0;-32.0;-31.0;3.233675;0.377162;976;74.950820;1.906437;487;1338128575959;1338893318868
4;27;16;41;0;5813;-10.464304;-12.0;-9.0;-11.0;-10.0;-10.0;0.635311;0.214459;984;77.533537;3.260930;492;1338128575959;1338893318868
4;27;16;42;0;4668;-19.247429;-19.0;-19.0;-19.0;-19.0;-19.0;1.653588;0.369189;981;74.806320;3.448928;492;1338128575959;1338893318868
4;27;16;43;0;2099;-40.226298;-44.0;-36.0;-41.0;-40.0;-39.0;2.170026;0.716351;982;76.392057;0.991327;489;1338128575959;1338893318868
4;27;16;44;0;5770;-27.498614;-39.0;-16.0;-31.0;-29.0;-25.0;4.630880;0.220270;985;74.249746;3.050484;497;1338128575959;1338893318868
4;27;16;46;0;5390;-29.972542;-41.0;-17.0;-35.0;-29.0;-25.0;6.095576;0.271622;982;76.455193;2.246195;494;1338128575959;1338893318868
4;27;16;47;0;5461;-30.086431;-34.0;-26.0;-31.0;-30.0;-29.0;2.071046;0.262027;980;76.455102;1.884029;496;1338128575959;1338893318868
