txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
5;31;0;4;0;7349;-31.233365;-41.0;-22.0;-34.0;-31.0;-29.0;3.635898;0.006892;978;75.706544;1.994562;497;1338121582625;1338886318662
5;31;0;6;0;7397;-21.089225;-26.0;-15.0;-22.0;-21.0;-19.0;2.854387;0.000405;980;77.123469;1.978965;490;1338121582625;1338886318662
5;31;0;7;0;4708;-43.602591;-47.0;-39.0;-45.0;-44.0;-42.0;1.939243;0.363784;978;76.927403;0.831719;501;1338121582625;1338886318662
5;31;0;10;0;7398;-17.907813;-26.0;-10.0;-20.0;-17.0;-16.0;2.831368;0.000270;981;76.249745;2.832719;494;1338121582625;1338886318662
5;31;0;12;0;7386;-24.474005;-28.0;-20.0;-25.0;-24.0;-23.0;3.496773;0.001892;978;74.298569;2.523750;490;1338121582625;1338886318662
5;31;0;13;0;7400;-7.108108;-13.0;-2.0;-9.0;-7.0;-6.0;2.235902;0.000000;983;76.410987;2.844218;486;1338121582625;1338886318662
5;31;0;14;0;4969;-43.491447;-45.0;-42.0;-44.0;-44.0;-43.0;1.475094;0.328514;990;77.550505;0.578495;495;1338121582625;1338886318662
5;31;0;17;0;7384;-39.803494;-41.0;-38.0;-40.0;-39.0;-39.0;1.841250;0.002162;984;75.271341;0.957145;499;1338121582625;1338886318662
5;31;0;22;0;7378;-25.506641;-34.0;-17.0;-28.0;-25.0;-23.0;3.924497;0.002973;982;73.970468;1.692504;493;1338121582625;1338886318662
5;31;0;25;0;7399;-19.078389;-27.0;-11.0;-21.0;-19.0;-17.0;2.933583;0.000135;983;74.685656;2.535666;499;1338121582625;1338886318662
5;31;0;28;0;7337;-28.768434;-41.0;-20.0;-32.0;-27.0;-26.0;3.710554;0.008514;973;77.121274;2.224464;497;1338121582625;1338886318662
5;31;0;29;0;7400;-12.551351;-17.0;-9.0;-15.0;-13.0;-9.0;2.622701;0.000000;987;71.993921;2.538939;491;1338121582625;1338886318662
5;31;0;30;0;7391;-19.102151;-26.0;-11.0;-21.0;-19.0;-17.0;3.117107;0.001216;985;73.718782;1.942544;495;1338121582625;1338886318662
5;31;0;31;0;7360;-28.439266;-42.0;-17.0;-32.0;-29.0;-25.0;4.933239;0.005405;973;73.315519;1.552290;490;1338121582625;1338886318662
5;31;0;32;0;7400;-2.069459;-6.0;2.0;-3.0;-2.0;-1.0;1.906601;0.000000;988;77.169028;2.804103;489;1338121582625;1338886318662
5;31;0;33;0;7340;-34.319482;-44.0;-25.0;-37.0;-34.0;-32.0;3.301364;0.008108;981;76.171254;2.176692;494;1338121582625;1338886318662
5;31;0;35;0;7400;-12.958243;-17.0;-9.0;-14.0;-13.0;-12.0;2.837970;0.000000;976;74.647541;2.009402;494;1338121582625;1338886318662
5;31;0;36;0;7400;-2.588514;-6.0;2.0;-3.0;-2.0;-1.0;2.127381;0.000000;981;75.175331;4.195703;497;1338121582625;1338886318662
5;31;0;37;0;7369;-38.317004;-42.0;-34.0;-39.0;-39.0;-37.0;1.837947;0.004189;984;74.864837;1.372978;489;1338121582625;1338886318662
5;31;0;41;0;7360;-30.587908;-39.0;-23.0;-33.0;-30.0;-29.0;3.028853;0.005405;978;77.399796;2.019526;486;1338121582625;1338886318662
5;31;0;42;0;7400;-17.280135;-23.0;-12.0;-19.0;-17.0;-16.0;3.384858;0.000000;983;74.679552;2.615958;488;1338121582625;1338886318662
5;31;0;43;0;156;-45.974359;-48.0;-44.0;-47.0;-46.0;-45.0;0.857218;0.978919;982;76.339104;0.590511;486;1338121582625;1338886318662
5;31;0;44;0;7392;-19.008929;-27.0;-12.0;-21.0;-19.0;-17.0;3.291737;0.001081;983;74.073245;2.401359;502;1338121582625;1338886318662
5;31;0;46;0;6784;-38.260171;-47.0;-32.0;-42.0;-38.0;-35.0;3.935980;0.083243;977;76.360287;1.314788;488;1338121582625;1338886318662
5;31;0;47;0;5056;-42.655063;-48.0;-35.0;-45.0;-43.0;-41.0;2.975549;0.316757;979;76.420838;1.210306;495;1338121582625;1338886318662
5;31;0;48;0;5056;-43.684929;-48.0;-40.0;-45.0;-45.0;-43.0;2.928123;0.316757;981;75.123344;1.092682;489;1338121582625;1338886318662
5;31;0;50;0;7399;-12.322881;-17.0;-9.0;-14.0;-13.0;-11.0;1.528128;0.000135;984;75.092480;2.968911;495;1338121582625;1338886318662
5;31;16;4;0;7268;-31.212300;-41.0;-22.0;-34.0;-31.0;-29.0;3.635131;0.017838;983;75.916582;2.855865;493;1338121702929;1338886438988
5;31;16;6;0;7385;-21.071361;-29.0;-15.0;-23.0;-21.0;-19.0;2.721782;0.002027;979;77.267620;2.529960;495;1338121702929;1338886438988
5;31;16;7;0;4397;-43.503525;-47.0;-39.0;-45.0;-44.0;-42.0;1.901654;0.405811;983;76.959308;0.931663;493;1338121702929;1338886438988
5;31;16;10;0;7400;-17.792568;-25.0;-10.0;-20.0;-17.0;-16.0;2.941025;0.000000;990;76.218182;2.611105;487;1338121702929;1338886438988
5;31;16;12;0;7363;-24.342795;-28.0;-20.0;-25.0;-24.0;-23.0;3.625703;0.005000;988;74.282389;2.699809;488;1338121702929;1338886438988
5;31;16;13;0;7400;-7.080676;-13.0;-2.0;-9.0;-7.0;-6.0;2.271028;0.000000;979;76.673136;4.322316;494;1338121702929;1338886438988
5;31;16;14;0;4843;-43.382821;-45.0;-42.0;-44.0;-44.0;-43.0;1.516143;0.345541;983;77.562564;0.777682;480;1338121702929;1338886438988
5;31;16;17;0;7362;-39.660962;-45.0;-36.0;-41.0;-39.0;-38.0;1.763560;0.005135;985;75.330964;1.104364;487;1338121702929;1338886438988
5;31;16;22;0;7327;-25.567081;-35.0;-17.0;-28.0;-25.0;-23.0;3.985039;0.009865;983;74.106816;2.513464;489;1338121702929;1338886438988
5;31;16;25;0;7399;-19.036762;-27.0;-11.0;-21.0;-19.0;-17.0;2.822830;0.000135;981;74.743119;2.805109;488;1338121702929;1338886438988
5;31;16;28;0;7308;-28.524494;-41.0;-19.0;-32.0;-27.0;-26.0;3.784546;0.012432;976;77.191598;2.467257;491;1338121702929;1338886438988
5;31;16;29;0;7400;-12.457973;-18.0;-9.0;-15.0;-13.0;-9.0;2.631767;0.000000;981;72.090724;3.206964;494;1338121702929;1338886438988
5;31;16;30;0;7382;-18.683826;-24.0;-13.0;-20.0;-19.0;-17.0;2.665471;0.002432;981;74.041794;3.892338;489;1338121702929;1338886438988
5;31;16;31;0;7357;-28.545603;-42.0;-17.0;-32.0;-29.0;-25.0;4.934728;0.005811;979;73.644535;3.382606;490;1338121702929;1338886438988
5;31;16;32;0;7400;-1.815000;-7.0;2.0;-3.0;-1.0;0.0;1.885911;0.000000;983;77.528993;5.125405;493;1338121702929;1338886438988
5;31;16;33;0;7329;-34.177378;-44.0;-25.0;-37.0;-33.0;-32.0;3.282617;0.009595;980;76.138776;1.857301;489;1338121702929;1338886438988
5;31;16;35;0;7397;-12.850885;-18.0;-8.0;-14.0;-13.0;-11.0;2.704695;0.000405;980;74.965306;3.925873;494;1338121702929;1338886438988
5;31;16;36;0;7400;-2.536351;-8.0;2.0;-4.0;-2.0;-1.0;2.072292;0.000000;980;75.189796;3.885582;493;1338121702929;1338886438988
5;31;16;37;0;7327;-38.164597;-42.0;-34.0;-39.0;-39.0;-37.0;1.878274;0.009865;984;74.936992;1.505532;487;1338121702929;1338886438988
5;31;16;41;0;7330;-30.705321;-39.0;-23.0;-33.0;-30.0;-29.0;2.820831;0.009459;973;77.538541;2.403231;489;1338121702929;1338886438988
5;31;16;42;0;7389;-17.880227;-22.0;-14.0;-19.0;-18.0;-17.0;3.393260;0.001486;988;74.724696;3.028590;502;1338121702929;1338886438988
5;31;16;43;0;118;-45.491525;-47.0;-44.0;-46.0;-45.0;-45.0;0.874577;0.984054;987;76.343465;0.566622;492;1338121702929;1338886438988
5;31;16;44;0;7391;-18.893790;-27.0;-11.0;-21.0;-19.0;-17.0;3.138431;0.001216;984;74.255081;3.558403;485;1338121702929;1338886438988
5;31;16;46;0;6451;-37.970392;-47.0;-31.0;-41.0;-38.0;-35.0;3.860621;0.128243;974;76.434292;1.523807;500;1338121702929;1338886438988
5;31;16;47;0;5012;-42.345371;-48.0;-35.0;-45.0;-43.0;-41.0;3.061700;0.322703;984;76.424797;1.290246;493;1338121702929;1338886438988
5;31;16;48;0;4865;-43.462693;-48.0;-40.0;-45.0;-45.0;-43.0;2.939546;0.342568;980;75.139796;0.919568;490;1338121702929;1338886438988
5;31;16;50;0;7400;-12.100000;-17.0;-9.0;-14.0;-12.0;-11.0;1.600615;0.000000;983;75.194303;3.757394;490;1338121702929;1338886438988
5;31;64;4;0;7231;-31.582077;-41.0;-22.0;-34.0;-31.0;-29.0;3.746479;0.022838;977;76.090072;3.378766;495;1338121823234;1338886559345
5;31;64;6;0;7387;-20.948017;-26.0;-15.0;-22.0;-21.0;-19.0;2.757557;0.001757;980;77.678571;4.351482;486;1338121823234;1338886559345
5;31;64;7;0;3915;-43.114687;-47.0;-38.0;-45.0;-44.0;-41.0;1.905771;0.470946;986;77.007099;1.043690;492;1338121823234;1338886559345
5;31;64;10;0;7400;-17.905541;-26.0;-10.0;-20.0;-17.0;-16.0;2.926476;0.000000;976;76.703893;4.847566;495;1338121823234;1338886559345
5;31;64;12;0;7367;-24.458667;-28.0;-20.0;-25.0;-24.0;-23.0;3.441319;0.004459;993;74.886203;4.931398;501;1338121823234;1338886559345
5;31;64;13;0;7399;-6.951750;-13.0;-2.0;-9.0;-7.0;-6.0;2.278577;0.000135;978;77.252556;6.612743;493;1338121823234;1338886559345
5;31;64;14;0;4234;-43.190600;-45.0;-42.0;-44.0;-44.0;-43.0;1.438657;0.427838;983;77.691760;1.076316;503;1338121823234;1338886559345
5;31;64;17;0;7289;-39.679929;-43.0;-36.0;-40.0;-39.0;-38.0;1.785425;0.015000;982;75.494908;1.926127;491;1338121823234;1338886559345
5;31;64;22;0;7319;-25.568110;-37.0;-17.0;-28.0;-25.0;-22.0;4.214977;0.010946;985;74.593909;4.491361;491;1338121823234;1338886559345
5;31;64;25;0;7397;-19.152765;-27.0;-11.0;-21.0;-19.0;-17.0;3.227648;0.000405;978;75.483640;5.623849;491;1338121823234;1338886559345
5;31;64;28;0;7307;-28.562064;-41.0;-20.0;-32.0;-27.0;-26.0;3.565173;0.012568;991;77.715439;4.120135;491;1338121823234;1338886559345
5;31;64;29;0;7400;-12.456892;-18.0;-9.0;-15.0;-13.0;-9.0;2.607967;0.000000;976;73.038934;7.075166;484;1338121823234;1338886559345
5;31;64;30;0;7376;-18.768845;-24.0;-13.0;-20.0;-19.0;-17.0;2.687242;0.003243;976;74.497951;5.489196;492;1338121823234;1338886559345
5;31;64;31;0;7348;-28.339956;-42.0;-16.0;-32.0;-29.0;-25.0;5.127300;0.007027;984;74.099593;4.963164;493;1338121823234;1338886559345
5;31;64;32;0;7400;-1.880135;-7.0;2.0;-3.0;-1.0;0.0;1.904628;0.000000;980;78.550000;8.452146;495;1338121823234;1338886559345
5;31;64;33;0;7350;-34.145850;-44.0;-26.0;-37.0;-33.0;-32.0;3.137604;0.006757;981;76.504587;3.072795;500;1338121823234;1338886559345
5;31;64;35;0;7398;-12.668154;-18.0;-8.0;-14.0;-13.0;-11.0;2.516038;0.000270;980;75.557143;6.169366;500;1338121823234;1338886559345
5;31;64;36;0;7400;-2.558919;-8.0;2.0;-4.0;-2.0;-1.0;2.038961;0.000000;982;75.674134;6.368062;494;1338121823234;1338886559345
5;31;64;37;0;7293;-38.188126;-42.0;-34.0;-39.0;-39.0;-37.0;1.911864;0.014459;978;75.028630;2.008987;499;1338121823234;1338886559345
5;31;64;41;0;7309;-30.737037;-36.0;-25.0;-32.0;-30.0;-29.0;2.979693;0.012297;985;77.872081;3.445257;492;1338121823234;1338886559345
5;31;64;42;0;7396;-17.636696;-23.0;-12.0;-19.0;-18.0;-16.0;3.414617;0.000541;975;75.223590;5.174298;490;1338121823234;1338886559345
5;31;64;43;0;104;-44.442308;-46.0;-43.0;-45.0;-44.0;-44.0;0.761028;0.985946;984;76.369919;0.646888;501;1338121823234;1338886559345
5;31;64;44;0;7386;-18.727593;-27.0;-11.0;-21.0;-19.0;-17.0;3.144498;0.001892;976;74.884221;5.767986;492;1338121823234;1338886559345
5;31;64;46;0;6559;-37.868730;-47.0;-30.0;-41.0;-38.0;-34.0;3.897278;0.113649;984;76.589431;2.280023;490;1338121823234;1338886559345
5;31;64;47;0;4634;-42.337721;-47.0;-37.0;-44.0;-43.0;-41.0;2.734944;0.373784;986;76.474645;1.501223;495;1338121823234;1338886559345
5;31;64;48;0;4635;-43.395685;-48.0;-40.0;-45.0;-45.0;-43.0;2.882474;0.373649;982;75.234216;1.218332;494;1338121823234;1338886559345
5;31;64;50;0;7400;-12.093108;-16.0;-8.0;-13.0;-12.0;-11.0;1.583673;0.000000;982;75.860489;6.230035;494;1338121823234;1338886559345
5;27;0;4;0;7364;-32.633895;-42.0;-23.0;-35.0;-32.0;-30.0;3.657498;0.004865;988;75.634615;1.569432;496;1338121597665;1338886333700
5;27;0;6;0;7385;-22.486121;-30.0;-14.0;-24.0;-22.0;-20.0;3.390982;0.002027;981;77.213048;2.805329;491;1338121597665;1338886333700
5;27;0;7;0;3522;-44.233106;-48.0;-40.0;-46.0;-44.0;-43.0;1.583035;0.524054;987;76.928065;0.706312;494;1338121597665;1338886333700
5;27;0;10;0;7399;-19.279768;-27.0;-11.0;-21.0;-19.0;-17.0;2.876499;0.000135;980;76.189796;2.585553;493;1338121597665;1338886333700
5;27;0;12;0;7381;-25.897575;-31.0;-20.0;-27.0;-25.0;-24.0;3.413638;0.002568;979;74.265577;2.346505;496;1338121597665;1338886333700
5;27;0;13;0;7400;-8.938243;-13.0;-5.0;-10.0;-9.0;-8.0;2.045197;0.000000;985;76.404061;2.637130;487;1338121597665;1338886333700
5;27;0;14;0;4081;-44.331291;-46.0;-43.0;-45.0;-45.0;-44.0;1.101035;0.448514;981;77.548420;0.561476;491;1338121597665;1338886333700
5;27;0;17;0;7361;-41.207037;-45.0;-38.0;-42.0;-41.0;-40.0;1.816982;0.005270;975;75.263590;0.896753;490;1338121597665;1338886333700
5;27;0;22;0;7376;-27.046638;-36.0;-19.0;-29.0;-27.0;-24.0;3.972344;0.003243;981;74.099898;2.237028;494;1338121597665;1338886333700
5;27;0;25;0;7397;-20.347844;-28.0;-15.0;-22.0;-20.0;-18.0;2.950740;0.000405;981;74.772681;2.969283;494;1338121597665;1338886333700
5;27;0;28;0;7346;-30.337190;-40.0;-21.0;-33.0;-29.0;-28.0;3.502907;0.007297;984;77.082317;2.007699;491;1338121597665;1338886333700
5;27;0;29;0;7399;-14.313286;-19.0;-9.0;-16.0;-15.0;-13.0;2.125166;0.000135;980;71.888776;1.872569;494;1338121597665;1338886333700
5;27;0;30;0;7390;-20.307442;-25.0;-15.0;-21.0;-20.0;-18.0;2.903824;0.001351;980;73.790816;2.494553;489;1338121597665;1338886333700
5;27;0;31;0;7365;-29.654990;-42.0;-19.0;-33.0;-30.0;-27.0;4.869987;0.004730;986;73.425963;2.371809;497;1338121597665;1338886333700
5;27;0;32;0;7400;-4.222568;-10.0;0.0;-6.0;-4.0;-2.0;2.254950;0.000000;976;77.195697;2.888638;490;1338121597665;1338886333700
5;27;0;33;0;7337;-35.619872;-47.0;-27.0;-39.0;-35.0;-33.0;3.531962;0.008514;984;76.008130;1.340326;491;1338121597665;1338886333700
5;27;0;35;0;7398;-13.022168;-20.0;-9.0;-14.0;-13.0;-10.0;3.165874;0.000270;985;74.925888;3.582306;497;1338121597665;1338886333700
5;27;0;36;0;7400;-4.659865;-10.0;0.0;-6.0;-4.0;-3.0;2.193531;0.000000;982;75.272912;4.605636;493;1338121597665;1338886333700
5;27;0;37;0;7361;-39.839967;-44.0;-36.0;-41.0;-40.0;-39.0;1.889598;0.005270;985;74.903553;1.351692;493;1338121597665;1338886333700
5;27;0;41;0;7345;-32.171818;-38.0;-27.0;-34.0;-32.0;-31.0;2.954935;0.007432;990;77.425253;1.725315;494;1338121597665;1338886333700
5;27;0;42;0;7393;-18.946436;-26.0;-11.0;-21.0;-19.0;-17.0;3.080073;0.000946;984;74.707317;2.781224;502;1338121597665;1338886333700
5;27;0;43;0;77;-45.688312;-47.0;-44.0;-46.0;-46.0;-45.0;0.673946;0.989595;980;76.360204;0.536557;496;1338121597665;1338886333700
5;27;0;44;0;7384;-20.435401;-30.0;-15.0;-23.0;-20.0;-18.0;3.230819;0.002162;982;73.965377;1.588318;488;1338121597665;1338886333700
5;27;0;46;0;6524;-39.366646;-48.0;-32.0;-43.0;-39.0;-36.0;3.885313;0.118378;980;76.359184;1.259719;501;1338121597665;1338886333700
5;27;0;47;0;4305;-43.615563;-48.0;-40.0;-45.0;-44.0;-43.0;2.452180;0.418243;977;76.368475;1.135921;499;1338121597665;1338886333700
5;27;0;48;0;4627;-44.578993;-49.0;-41.0;-46.0;-46.0;-44.0;2.818393;0.374730;984;75.115854;0.727873;494;1338121597665;1338886333700
5;27;0;50;0;7400;-12.762432;-17.0;-9.0;-14.0;-13.0;-12.0;1.835304;0.000000;980;75.229592;4.018515;491;1338121597665;1338886333700
5;27;16;4;0;7303;-32.607969;-42.0;-23.0;-35.0;-32.0;-30.0;3.740424;0.013108;986;75.731237;2.190375;490;1338121717970;1338886454084
5;27;16;6;0;7389;-22.385302;-28.0;-17.0;-24.0;-22.0;-21.0;3.001805;0.001486;985;77.376650;3.018113;496;1338121717970;1338886454084
5;27;16;7;0;3122;-44.055413;-47.0;-40.0;-45.0;-44.0;-43.0;1.585279;0.578108;975;76.890256;0.638641;488;1338121717970;1338886454084
5;27;16;10;0;7400;-19.117432;-27.0;-11.0;-21.0;-19.0;-17.0;2.973118;0.000000;978;76.376278;3.624031;495;1338121717970;1338886454084
5;27;16;12;0;7371;-25.734364;-31.0;-20.0;-27.0;-25.0;-24.0;3.422765;0.003919;975;74.139487;1.792361;497;1338121717970;1338886454084
5;27;16;13;0;7400;-8.897162;-13.0;-5.0;-10.0;-9.0;-8.0;2.034396;0.000000;984;76.672764;4.173334;501;1338121717970;1338886454084
5;27;16;14;0;3695;-44.180244;-46.0;-43.0;-45.0;-44.0;-44.0;1.182341;0.500676;986;77.547667;0.627831;497;1338121717970;1338886454084
5;27;16;17;0;7357;-41.069458;-45.0;-37.0;-42.0;-41.0;-40.0;1.674405;0.005811;977;75.320368;1.145521;495;1338121717970;1338886454084
