txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
29;31;0;4;0;7394;-18.362591;-22.0;-14.0;-19.0;-19.0;-17.0;1.550925;0.000811;989;75.613751;1.609830;489;1338126997143;1338891736568
29;31;0;5;0;7400;-11.760541;-16.0;-6.0;-13.0;-12.0;-10.0;1.728875;0.000000;981;75.507645;3.630257;499;1338126997143;1338891736568
29;31;0;6;0;7400;-0.894865;-2.0;1.0;-1.0;-1.0;0.0;1.144524;0.000000;977;77.248721;3.215065;501;1338126997143;1338891736568
29;31;0;7;0;631;-44.226624;-44.0;-44.0;-44.0;-44.0;-44.0;1.014649;0.914730;982;76.873727;0.471774;498;1338126997143;1338891736568
29;31;0;10;0;7400;-10.594865;-15.0;-4.0;-13.0;-11.0;-9.0;2.252340;0.000000;981;76.204893;3.168051;494;1338126997143;1338891736568
29;31;0;12;0;7400;-14.927432;-21.0;-10.0;-17.0;-16.0;-14.0;2.797727;0.000000;979;74.218590;2.198071;491;1338126997143;1338891736568
29;31;0;13;0;7395;-14.508452;-19.0;-11.0;-16.0;-15.0;-14.0;2.723142;0.000676;981;76.532110;3.109931;495;1338126997143;1338891736568
29;31;0;14;0;6526;-41.263255;-45.0;-38.0;-42.0;-41.0;-40.0;1.799094;0.118108;982;77.610998;0.970199;494;1338126997143;1338891736568
29;31;0;17;0;7274;-40.797498;-45.0;-37.0;-42.0;-41.0;-40.0;1.386858;0.017027;989;75.319515;1.144885;491;1338126997143;1338891736568
29;31;0;22;0;7398;-17.789267;-22.0;-14.0;-19.0;-18.0;-17.0;1.837985;0.000270;981;73.910296;1.036136;494;1338126997143;1338891736568
29;31;0;25;0;7400;-9.921892;-10.0;-10.0;-10.0;-10.0;-10.0;0.968127;0.000000;983;74.786368;3.212935;487;1338126997143;1338891736568
29;31;0;28;0;7373;-26.017225;-43.0;-18.0;-31.0;-24.0;-21.0;5.124029;0.003649;982;76.995927;1.286638;493;1338126997143;1338891736568
29;31;0;30;0;7342;-26.435985;-46.0;-20.0;-31.0;-25.0;-21.0;5.743477;0.007838;984;73.840447;2.659739;495;1338126997143;1338891736568
29;31;0;31;0;7321;-24.844830;-30.0;-19.0;-26.0;-24.0;-23.0;3.916438;0.010676;985;73.379695;2.177582;489;1338126997143;1338891736568
29;31;0;32;0;7400;3.048514;3.0;3.0;3.0;3.0;3.0;0.612037;0.000000;983;77.152594;2.700062;504;1338126997143;1338891736568
29;31;0;33;0;7387;-34.866387;-39.0;-31.0;-36.0;-35.0;-34.0;2.264620;0.001757;992;76.032258;1.503768;498;1338126997143;1338891736568
29;31;0;35;0;7397;-15.629174;-23.0;-9.0;-17.0;-16.0;-13.0;3.645638;0.000405;989;74.662285;1.802833;492;1338126997143;1338891736568
29;31;0;36;0;7397;-14.437339;-26.0;-9.0;-17.0;-14.0;-11.0;3.559017;0.000405;985;75.044670;2.582389;491;1338126997143;1338891736568
29;31;0;37;0;5181;-41.425980;-49.0;-34.0;-44.0;-41.0;-39.0;2.994037;0.299865;975;74.844103;1.087687;494;1338126997143;1338891736568
29;31;0;41;0;7317;-33.501572;-45.0;-27.0;-37.0;-33.0;-30.0;3.455672;0.011216;984;77.413618;1.790860;493;1338126997143;1338891736568
29;31;0;42;0;7397;-13.391510;-23.0;-9.0;-17.0;-13.0;-10.0;3.797009;0.000405;989;74.704752;3.253741;494;1338126997143;1338891736568
29;31;0;43;0;5530;-43.962387;-46.0;-43.0;-45.0;-44.0;-44.0;1.111782;0.252703;981;76.362895;0.713435;497;1338126997143;1338891736568
29;31;0;44;0;7385;-23.059716;-30.0;-15.0;-24.0;-22.0;-20.0;4.418619;0.002027;980;74.103061;2.532443;491;1338126997143;1338891736568
29;31;0;46;0;6967;-39.280178;-47.0;-31.0;-42.0;-39.0;-37.0;3.566462;0.058514;980;76.386735;1.475170;488;1338126997143;1338891736568
29;31;0;47;0;4647;-43.207015;-48.0;-40.0;-45.0;-44.0;-43.0;2.378012;0.372027;987;76.301925;0.757670;488;1338126997143;1338891736568
29;31;0;48;0;7144;-40.837486;-46.0;-35.0;-42.0;-40.0;-39.0;2.347351;0.034595;981;75.110092;1.020259;492;1338126997143;1338891736568
29;31;0;50;0;7400;-1.128649;-3.0;0.0;-2.0;-1.0;-1.0;0.907949;0.000000;980;75.063265;3.585249;490;1338126997143;1338891736568
29;31;16;4;0;7388;-18.386031;-22.0;-14.0;-19.0;-19.0;-17.0;1.522052;0.001622;987;76.065856;4.222839;495;1338127117424;1338891857886
29;31;16;5;0;7400;-11.632703;-15.0;-6.0;-13.0;-12.0;-10.0;1.690856;0.000000;983;75.347915;3.130074;489;1338127117424;1338891857886
29;31;16;6;0;7400;-0.684189;-2.0;1.0;-1.0;-1.0;0.0;1.084294;0.000000;981;77.404689;4.287659;490;1338127117424;1338891857886
29;31;16;7;0;553;-43.746835;-44.0;-44.0;-44.0;-44.0;-44.0;1.126554;0.925270;985;76.918782;0.635583;494;1338127117424;1338891857886
29;31;16;10;0;7400;-10.602568;-16.0;-4.0;-13.0;-11.0;-9.0;2.283589;0.000000;982;76.430754;4.120854;493;1338127117424;1338891857886
29;31;16;12;0;7400;-14.847432;-21.0;-10.0;-17.0;-16.0;-14.0;2.730513;0.000000;979;74.526047;4.135250;489;1338127117424;1338891857886
29;31;16;13;0;7393;-14.500879;-16.0;-13.0;-15.0;-15.0;-14.0;3.037871;0.000946;985;76.539086;3.133017;487;1338127117424;1338891857886
29;31;16;14;0;6318;-41.054922;-45.0;-37.0;-42.0;-41.0;-40.0;1.727152;0.146216;980;77.600000;0.846310;490;1338127117424;1338891857886
29;31;16;17;0;7248;-40.768902;-45.0;-37.0;-42.0;-41.0;-40.0;1.427127;0.020541;987;75.310030;1.160161;493;1338127117424;1338891857886
29;31;16;22;0;7396;-17.700243;-22.0;-15.0;-19.0;-18.0;-17.0;1.780992;0.000541;990;74.322222;3.850100;499;1338127117424;1338891857886
29;31;16;25;0;7400;-9.821892;-10.0;-10.0;-10.0;-10.0;-10.0;0.944840;0.000000;988;74.873482;3.881631;499;1338127117424;1338891857886
