txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
7;31;0;4;0;6661;-39.502027;-47.0;-31.0;-41.0;-39.0;-37.0;2.865221;0.099865;990;75.648485;1.504853;501;1338123387092;1338888124036
7;31;0;5;0;5068;-44.809392;-49.0;-41.0;-46.0;-46.0;-44.0;1.940799;0.315135;979;75.180797;0.809579;493;1338123387092;1338888124036
7;31;0;6;0;4270;-43.331616;-45.0;-42.0;-44.0;-43.0;-43.0;1.159805;0.422973;980;77.045918;0.671112;488;1338123387092;1338888124036
7;31;0;10;0;4481;-44.158893;-48.0;-39.0;-46.0;-45.0;-43.0;1.774753;0.394459;977;75.990788;0.534580;492;1338123387092;1338888124036
7;31;0;12;0;7342;-36.444566;-40.0;-35.0;-37.0;-36.0;-35.0;1.621396;0.007838;982;74.168024;1.691038;483;1338123387092;1338888124036
7;31;0;13;0;6801;-40.665049;-47.0;-36.0;-43.0;-40.0;-39.0;2.361112;0.080946;978;76.327198;1.148760;490;1338123387092;1338888124036
7;31;0;14;0;7400;-4.736892;-10.0;-1.0;-6.0;-5.0;-3.0;2.028275;0.000000;984;77.691057;2.540432;489;1338123387092;1338888124036
7;31;0;15;0;7398;-28.119086;-36.0;-21.0;-30.0;-28.0;-26.0;2.756341;0.000270;986;74.229209;1.745829;492;1338123387092;1338888124036
7;31;0;17;0;7399;-19.621030;-24.0;-16.0;-21.0;-19.0;-19.0;2.693884;0.000135;986;75.279919;1.597187;495;1338123387092;1338888124036
7;31;0;22;0;6326;-39.259089;-47.0;-31.0;-41.0;-38.0;-37.0;3.521955;0.145135;986;73.998986;1.429564;493;1338123387092;1338888124036
7;31;0;25;0;2433;-44.952733;-48.0;-41.0;-46.0;-45.0;-44.0;1.383877;0.671216;983;74.514751;1.052364;486;1338123387092;1338888124036
7;31;0;28;0;7348;-29.984486;-34.0;-26.0;-31.0;-30.0;-29.0;2.754810;0.007027;984;77.044715;1.646857;488;1338123387092;1338888124036
7;31;0;29;0;644;-49.183230;-51.0;-48.0;-50.0;-49.0;-49.0;1.013424;0.912973;973;71.844810;0.606520;489;1338123387092;1338888124036
7;31;0;30;0;7303;-37.129673;-45.0;-31.0;-39.0;-37.0;-35.0;2.861933;0.013108;981;73.838940;2.161007;483;1338123387092;1338888124036
7;31;0;31;0;7344;-35.621868;-37.0;-34.0;-36.0;-35.0;-35.0;1.719897;0.007568;983;73.388606;1.991211;495;1338123387092;1338888124036
7;31;0;32;0;29;-45.137931;-45.0;-45.0;-45.0;-45.0;-45.0;0.350931;0.996081;983;76.987792;0.446591;496;1338123387092;1338888124036
7;31;0;33;0;7400;-19.805270;-24.0;-16.0;-21.0;-19.0;-19.0;1.540304;0.000000;977;76.139202;2.190485;495;1338123387092;1338888124036
7;31;0;35;0;5538;-40.760202;-49.0;-35.0;-43.0;-40.0;-39.0;2.970007;0.251622;976;74.673156;1.223168;494;1338123387092;1338888124036
7;31;0;36;0;7334;-39.737251;-45.0;-34.0;-41.0;-39.0;-38.0;2.456402;0.008919;978;74.875256;0.702956;495;1338123387092;1338888124036
7;31;0;37;0;7400;-7.135811;-10.0;-3.0;-8.0;-7.0;-6.0;1.539343;0.000000;990;75.156566;3.975752;486;1338123387092;1338888124036
7;31;0;41;0;7380;-25.135772;-29.0;-21.0;-26.0;-25.0;-24.0;2.200542;0.002703;978;77.449898;2.253178;495;1338123387092;1338888124036
7;31;0;42;0;7319;-38.457440;-42.0;-34.0;-39.0;-38.0;-37.0;2.330053;0.010946;977;74.579324;1.569465;494;1338123387092;1338888124036
7;31;0;43;0;7400;-12.283108;-18.0;-8.0;-14.0;-13.0;-11.0;2.096983;0.000000;981;76.584098;2.882444;498;1338123387092;1338888124036
7;31;0;44;0;5130;-43.967057;-50.0;-36.0;-46.0;-44.0;-42.0;2.674425;0.306757;985;73.907614;0.861668;487;1338123387092;1338888124036
7;31;0;46;0;7390;-26.967388;-39.0;-19.0;-30.0;-26.0;-24.0;3.476370;0.001351;987;76.419453;1.748470;486;1338123387092;1338888124036
7;31;0;47;0;7400;-18.755811;-20.0;-17.0;-19.0;-19.0;-18.0;1.154140;0.000000;984;76.381098;1.321275;495;1338123387092;1338888124036
7;31;0;48;0;7400;-19.708243;-25.0;-15.0;-21.0;-20.0;-18.0;2.221152;0.000000;979;75.112360;1.221669;501;1338123387092;1338888124036
7;31;0;50;0;2566;-45.725253;-47.0;-44.0;-46.0;-46.0;-45.0;1.162323;0.653243;974;74.868583;0.707600;490;1338123387092;1338888124036
7;31;16;4;0;6526;-39.440852;-47.0;-31.0;-41.0;-40.0;-37.0;2.939822;0.118108;975;75.634872;1.704570;491;1338123507396;1338888244324
7;31;16;5;0;4756;-44.717620;-48.0;-39.0;-46.0;-45.0;-43.0;1.858380;0.357297;983;75.205493;0.970276;489;1338123507396;1338888244324
7;31;16;6;0;4028;-43.174777;-45.0;-42.0;-44.0;-43.0;-43.0;1.335180;0.455676;986;77.105477;1.049549;487;1338123507396;1338888244324
7;31;16;10;0;4102;-43.889078;-47.0;-39.0;-45.0;-44.0;-42.0;1.705202;0.445676;980;76.032653;0.801528;493;1338123507396;1338888244324
7;31;16;12;0;7337;-36.332288;-40.0;-33.0;-37.0;-36.0;-35.0;1.510138;0.008514;980;74.258163;2.038868;500;1338123507396;1338888244324
7;31;16;13;0;6793;-40.649492;-48.0;-35.0;-43.0;-40.0;-39.0;2.221616;0.082027;981;76.434251;1.677282;495;1338123507396;1338888244324
7;31;16;14;0;7400;-4.578649;-10.0;-1.0;-6.0;-5.0;-3.0;2.008100;0.000000;982;77.855397;3.786002;496;1338123507396;1338888244324
7;31;16;15;0;7393;-28.114838;-36.0;-21.0;-30.0;-28.0;-26.0;2.969668;0.000946;980;74.265306;2.040704;491;1338123507396;1338888244324
7;31;16;17;0;7398;-19.437551;-24.0;-16.0;-21.0;-19.0;-19.0;2.914552;0.000270;983;75.478128;2.866209;491;1338123507396;1338888244324
7;31;16;22;0;6088;-38.955158;-47.0;-33.0;-41.0;-38.0;-37.0;3.292358;0.177297;980;73.933673;1.026059;497;1338123507396;1338888244324
7;31;16;25;0;2173;-44.518178;-48.0;-41.0;-46.0;-45.0;-44.0;1.775956;0.706351;982;74.568228;1.022145;490;1338123507396;1338888244324
7;31;16;28;0;7319;-29.952999;-34.0;-26.0;-31.0;-29.0;-29.0;2.559268;0.010946;978;77.220859;2.584557;496;1338123507396;1338888244324
7;31;16;29;0;577;-48.795494;-50.0;-48.0;-49.0;-49.0;-48.0;0.716701;0.922027;978;71.911043;0.781870;498;1338123507396;1338888244324
7;31;16;30;0;7258;-36.917195;-45.0;-31.0;-39.0;-37.0;-35.0;2.828701;0.019189;981;73.758410;1.604758;497;1338123507396;1338888244324
7;31;16;31;0;7341;-35.704672;-37.0;-34.0;-36.0;-35.0;-35.0;1.900657;0.007973;988;73.420040;1.911063;490;1338123507396;1338888244324
7;31;16;32;0;35;-45.057143;-45.0;-45.0;-45.0;-45.0;-45.0;0.416064;0.995270;982;77.063136;1.125230;488;1338123507396;1338888244324
7;31;16;33;0;7400;-19.847432;-24.0;-16.0;-21.0;-19.0;-19.0;1.588696;0.000000;984;76.260163;3.213875;487;1338123507396;1338888244324
7;31;16;35;0;5702;-40.722378;-48.0;-34.0;-43.0;-40.0;-39.0;2.923618;0.229459;983;74.679552;1.253938;494;1338123507396;1338888244324
7;31;16;36;0;7313;-39.793929;-45.0;-34.0;-41.0;-39.0;-38.0;2.551238;0.011757;977;74.975435;1.299988;491;1338123507396;1338888244324
7;31;16;37;0;7400;-6.979054;-10.0;-3.0;-8.0;-7.0;-6.0;1.532446;0.000000;980;75.385714;5.012568;496;1338123507396;1338888244324
7;31;16;41;0;7381;-24.968839;-30.0;-19.0;-26.0;-25.0;-23.0;2.347600;0.002568;981;77.430173;2.131510;492;1338123507396;1338888244324
