txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
48;31;0;4;0;7387;-21.041559;-25.0;-18.0;-22.0;-21.0;-20.0;1.833151;0.001757;980;75.967347;3.548720;487;1338120860896;1338885595678
48;31;0;5;0;5105;-43.401959;-49.0;-36.0;-45.0;-45.0;-41.0;2.883487;0.310135;987;75.124620;0.571173;491;1338120860896;1338885595678
48;31;0;6;0;7382;-32.069222;-33.0;-30.0;-32.0;-32.0;-31.0;1.169292;0.002432;987;77.115502;1.219697;493;1338120860896;1338885595678
48;31;0;7;0;7398;-19.373885;-27.0;-12.0;-21.0;-19.0;-17.0;2.521929;0.000270;983;77.092574;2.431249;496;1338120860896;1338885595678
48;31;0;10;0;7388;-32.938549;-36.0;-28.0;-33.0;-32.0;-31.0;2.866841;0.001622;980;76.023469;1.154314;493;1338120860896;1338885595678
48;31;0;12;0;7376;-31.449024;-37.0;-27.0;-33.0;-31.0;-30.0;1.685062;0.003243;974;74.116016;1.337993;492;1338120860896;1338885595678
48;31;0;13;0;5216;-38.138420;-48.0;-30.0;-41.0;-37.0;-35.0;4.026948;0.295135;984;76.403455;2.193774;494;1338120860896;1338885595678
48;31;0;14;0;7397;-21.269704;-27.0;-17.0;-23.0;-21.0;-20.0;1.669443;0.000405;977;77.746162;2.487479;490;1338120860896;1338885595678
48;31;0;15;0;7367;-34.326049;-42.0;-31.0;-36.0;-34.0;-32.0;2.615168;0.004459;979;74.266599;1.888892;490;1338120860896;1338885595678
48;31;0;17;0;7393;-22.833762;-26.0;-18.0;-23.0;-22.0;-21.0;2.722727;0.000946;982;75.270876;1.134191;495;1338120860896;1338885595678
48;31;0;22;0;7351;-33.723439;-48.0;-20.0;-37.0;-33.0;-29.0;5.365685;0.006622;986;74.129817;2.184250;500;1338120860896;1338885595678
