txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
43;31;0;4;0;5580;-43.591577;-49.0;-36.0;-46.0;-44.0;-41.0;2.876816;0.245946;985;75.611168;1.339699;495;1338126275284;1338891012622
43;31;0;5;0;120;-47.250000;-49.0;-46.0;-48.0;-47.0;-47.0;0.842665;0.983784;978;75.109407;0.492828;489;1338126275284;1338891012622
43;31;0;6;0;2879;-43.824592;-47.0;-40.0;-45.0;-44.0;-42.0;1.519896;0.610946;979;77.066394;0.747651;489;1338126275284;1338891012622
43;31;0;7;0;7400;-12.970811;-18.0;-9.0;-14.0;-14.0;-11.0;1.866025;0.000000;982;77.028513;2.214124;489;1338126275284;1338891012622
43;31;0;10;0;29;-47.206897;-47.0;-47.0;-47.0;-47.0;-47.0;0.491304;0.996081;981;76.004077;0.651516;495;1338126275284;1338891012622
43;31;0;12;0;7366;-38.051181;-42.0;-35.0;-39.0;-38.0;-37.0;1.489939;0.004595;981;74.138634;1.309754;498;1338126275284;1338891012622
43;31;0;13;0;6069;-44.643763;-46.0;-43.0;-45.0;-45.0;-44.0;1.313550;0.179865;989;76.290192;0.860582;492;1338126275284;1338891012622
43;31;0;14;0;7400;-11.878784;-21.0;-8.0;-14.0;-13.0;-9.0;2.341972;0.000000;980;77.707143;2.373016;491;1338126275284;1338891012622
43;31;0;15;0;7400;-18.609865;-22.0;-14.0;-19.0;-19.0;-17.0;2.307860;0.000000;979;74.244127;1.975477;498;1338126275284;1338891012622
43;31;0;17;0;7400;-16.017027;-20.0;-12.0;-17.0;-15.0;-15.0;2.833675;0.000000;983;75.467955;2.990266;492;1338126275284;1338891012622
43;31;0;22;0;3117;-46.422842;-51.0;-43.0;-48.0;-46.0;-45.0;1.518256;0.578784;981;73.899083;1.132547;499;1338126275284;1338891012622
43;31;0;25;0;7369;-37.828742;-42.0;-35.0;-39.0;-38.0;-37.0;1.003514;0.004189;986;74.534483;1.088625;491;1338126275284;1338891012622
43;31;0;28;0;7345;-36.785568;-42.0;-31.0;-38.0;-37.0;-35.0;2.359196;0.007432;983;77.082401;1.661939;493;1338126275284;1338891012622
43;31;0;29;0;5685;-49.427792;-51.0;-48.0;-50.0;-49.0;-49.0;0.854224;0.231757;976;71.907787;1.143858;488;1338126275284;1338891012622
43;31;0;30;0;6544;-45.243582;-50.0;-40.0;-47.0;-46.0;-44.0;2.482269;0.115676;986;73.670385;1.046083;498;1338126275284;1338891012622
43;31;0;31;0;2349;-47.671775;-51.0;-42.0;-49.0;-48.0;-46.0;1.632029;0.682568;982;73.263747;0.887499;496;1338126275284;1338891012622
43;31;0;32;0;19;-46.526316;-47.0;-46.0;-47.0;-47.0;-46.0;0.512989;0.997432;984;77.011179;0.562364;493;1338126275284;1338891012622
43;31;0;33;0;7386;-29.174926;-33.0;-25.0;-30.0;-29.0;-28.0;2.646903;0.001892;989;76.097068;1.988500;495;1338126275284;1338891012622
43;31;0;35;0;7330;-39.951569;-41.0;-38.0;-40.0;-39.0;-39.0;2.129067;0.009459;989;74.769464;2.047374;488;1338126275284;1338891012622
43;31;0;36;0;5840;-45.836815;-50.0;-42.0;-47.0;-46.0;-45.0;1.221593;0.210811;984;74.866870;1.071009;501;1338126275284;1338891012622
43;31;0;37;0;7400;-18.722703;-24.0;-15.0;-20.0;-18.0;-17.0;2.325080;0.000000;975;75.003077;2.400161;499;1338126275284;1338891012622
43;31;0;41;0;7347;-36.693480;-44.0;-29.0;-38.0;-36.0;-34.0;3.458787;0.007162;984;77.343496;1.464361;492;1338126275284;1338891012622
43;31;0;42;0;1285;-47.442023;-49.0;-46.0;-48.0;-48.0;-47.0;0.800570;0.826351;981;74.528033;1.636472;489;1338126275284;1338891012622
43;31;0;44;0;7357;-38.428979;-42.0;-35.0;-39.0;-38.0;-37.0;1.748305;0.005811;987;73.903749;0.930580;495;1338126275284;1338891012622
43;31;0;46;0;7359;-29.976627;-35.0;-24.0;-31.0;-30.0;-28.0;2.859631;0.005541;986;76.396552;1.681173;492;1338126275284;1338891012622
43;31;0;47;0;7400;-24.564865;-26.0;-23.0;-25.0;-24.0;-24.0;1.509750;0.000000;983;76.387589;1.808930;494;1338126275284;1338891012622
43;31;0;48;0;7400;-23.637568;-29.0;-19.0;-25.0;-23.0;-22.0;1.760492;0.000000;982;75.218941;1.887760;489;1338126275284;1338891012622
