txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
13;31;0;4;0;7399;-13.401270;-17.0;-10.0;-15.0;-14.0;-13.0;2.228063;0.000135;985;75.783756;3.191856;493;1338120139122;1338884873504
13;31;0;5;0;7400;-8.316486;-14.0;-3.0;-10.0;-8.0;-7.0;2.145939;0.000000;990;75.300000;2.662685;489;1338120139122;1338884873504
13;31;0;6;0;7384;-19.951246;-21.0;-18.0;-20.0;-19.0;-19.0;2.908428;0.002162;985;77.190863;2.324778;495;1338120139122;1338884873504
13;31;0;7;0;6590;-40.733536;-46.0;-37.0;-42.0;-40.0;-39.0;2.192444;0.109459;976;76.942623;1.029208;492;1338120139122;1338884873504
13;31;0;10;0;7400;-15.718784;-20.0;-12.0;-17.0;-15.0;-15.0;2.423468;0.000000;983;76.128179;2.198835;497;1338120139122;1338884873504
13;31;0;12;0;7400;-20.574595;-29.0;-14.0;-23.0;-21.0;-19.0;2.685548;0.000000;980;74.374490;3.147313;492;1338120139122;1338884873504
13;31;0;14;0;4694;-43.383255;-47.0;-39.0;-44.0;-43.0;-42.0;1.346090;0.365676;983;77.576806;0.733232;488;1338120139122;1338884873504
13;31;0;15;0;6000;-46.917833;-48.0;-45.0;-47.0;-47.0;-46.0;0.709107;0.189189;974;74.111910;0.438161;488;1338120139122;1338884873504
13;31;0;17;0;7360;-39.183967;-44.0;-35.0;-40.0;-39.0;-37.0;2.368685;0.005405;978;75.252556;1.001850;491;1338120139122;1338884873504
13;31;0;22;0;7367;-24.442378;-36.0;-16.0;-27.0;-23.0;-21.0;5.201209;0.004459;980;74.143878;2.648397;490;1338120139122;1338884873504
13;31;0;25;0;7400;-11.920135;-15.0;-9.0;-13.0;-12.0;-11.0;1.473824;0.000000;977;74.609007;1.963457;486;1338120139122;1338884873504
