txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
33;31;0;4;0;7391;-16.869977;-17.0;-17.0;-17.0;-17.0;-17.0;0.884236;0.001216;980;75.797959;3.144136;490;1338121221738;1338885956610
33;31;0;5;0;7370;-36.464586;-46.0;-29.0;-39.0;-36.0;-34.0;3.409279;0.004054;973;75.362795;1.953401;496;1338121221738;1338885956610
33;31;0;6;0;7374;-33.933957;-38.0;-30.0;-35.0;-33.0;-33.0;2.208906;0.003514;984;77.103659;1.110125;493;1338121221738;1338885956610
33;31;0;7;0;7400;-20.626622;-24.0;-16.0;-21.0;-21.0;-19.0;1.577110;0.000000;987;76.963526;1.714006;489;1338121221738;1338885956610
33;31;0;10;0;5324;-42.321375;-48.0;-33.0;-45.0;-44.0;-40.0;3.110983;0.280541;977;76.039918;0.862138;488;1338121221738;1338885956610
33;31;0;12;0;7382;-27.183284;-34.0;-23.0;-29.0;-27.0;-25.0;2.343402;0.002432;986;74.115619;1.448549;489;1338121221738;1338885956610
33;31;0;13;0;7375;-26.913085;-32.0;-22.0;-28.0;-27.0;-25.0;2.007894;0.003378;983;76.422177;2.044763;486;1338121221738;1338885956610
33;31;0;14;0;7279;-30.213491;-38.0;-22.0;-32.0;-30.0;-28.0;3.128867;0.016351;981;77.637105;1.288414;492;1338121221738;1338885956610
33;31;0;15;0;5251;-43.093125;-50.0;-35.0;-46.0;-42.0;-41.0;3.066422;0.290405;988;74.102227;0.455380;487;1338121221738;1338885956610
33;31;0;17;0;7400;-18.087027;-22.0;-14.0;-19.0;-18.0;-17.0;1.214965;0.000000;982;75.419552;2.625668;493;1338121221738;1338885956610
33;31;0;22;0;7397;-21.805056;-26.0;-18.0;-23.0;-21.0;-21.0;1.857807;0.000405;979;74.099081;2.397892;497;1338121221738;1338885956610
33;31;0;25;0;7395;-25.876403;-30.0;-23.0;-27.0;-26.0;-25.0;1.205716;0.000676;980;74.743878;2.450889;500;1338121221738;1338885956610
33;31;0;28;0;7321;-24.883213;-30.0;-19.0;-26.0;-24.0;-23.0;2.613729;0.010676;987;77.045593;2.094847;491;1338121221738;1338885956610
33;31;0;29;0;7381;-41.551822;-47.0;-36.0;-43.0;-42.0;-40.0;2.602673;0.002568;987;71.944276;1.434130;492;1338121221738;1338885956610
33;31;0;30;0;7158;-31.813356;-46.0;-21.0;-36.0;-31.0;-29.0;4.951161;0.032703;976;73.850410;2.191864;495;1338121221738;1338885956610
33;31;0;31;0;7372;-27.462154;-35.0;-22.0;-29.0;-27.0;-25.0;2.189454;0.003784;991;73.311806;1.735736;489;1338121221738;1338885956610
33;31;0;32;0;7385;-32.497901;-34.0;-31.0;-33.0;-33.0;-32.0;1.445574;0.002027;984;77.087398;1.192757;496;1338121221738;1338885956610
33;31;0;35;0;7385;-19.865403;-24.0;-17.0;-21.0;-20.0;-19.0;1.704870;0.002027;986;74.682556;2.084908;497;1338121221738;1338885956610
33;31;0;36;0;7249;-37.152159;-47.0;-28.0;-40.0;-36.0;-35.0;4.350648;0.020405;980;74.910204;1.188169;494;1338121221738;1338885956610
33;31;0;37;0;7400;-20.313514;-28.0;-14.0;-22.0;-20.0;-18.0;2.925129;0.000000;984;74.948171;2.283195;494;1338121221738;1338885956610
33;31;0;41;0;7400;-6.116351;-8.0;-5.0;-7.0;-6.0;-6.0;1.055868;0.000000;985;77.787817;4.646077;493;1338121221738;1338885956610
33;31;0;42;0;7216;-35.032844;-43.0;-27.0;-37.0;-34.0;-33.0;3.216538;0.024865;975;74.585641;1.745807;486;1338121221738;1338885956610
33;31;0;43;0;7400;-28.846622;-34.0;-23.0;-30.0;-29.0;-27.0;2.704556;0.000000;975;76.471795;1.863123;498;1338121221738;1338885956610
33;31;0;44;0;7386;-22.029245;-25.0;-20.0;-23.0;-22.0;-21.0;1.004235;0.001892;979;73.971399;1.795017;499;1338121221738;1338885956610
33;31;0;46;0;7400;4.659189;3.0;6.0;4.0;5.0;5.0;0.715937;0.000000;985;76.629442;4.454575;484;1338121221738;1338885956610
33;31;0;47;0;7400;-12.784189;-15.0;-12.0;-14.0;-13.0;-13.0;1.561651;0.000000;988;76.545547;3.292088;489;1338121221738;1338885956610
33;31;0;48;0;7370;-22.098643;-34.0;-10.0;-25.0;-23.0;-19.0;4.183167;0.004054;986;75.286004;2.494938;490;1338121221738;1338885956610
33;31;0;50;0;7367;-36.887607;-42.0;-31.0;-38.0;-37.0;-35.0;2.807396;0.004459;983;74.943032;1.184080;490;1338121221738;1338885956610
33;31;16;4;0;7390;-16.802842;-17.0;-17.0;-17.0;-17.0;-17.0;0.833211;0.001351;979;75.882533;3.472576;494;1338121342031;1338886078103
33;31;16;5;0;7350;-36.360816;-46.0;-29.0;-39.0;-36.0;-34.0;3.285050;0.006757;983;75.261445;1.512948;492;1338121342031;1338886078103
33;31;16;6;0;7356;-33.945487;-38.0;-30.0;-35.0;-33.0;-33.0;2.194770;0.005946;985;77.215228;1.869299;489;1338121342031;1338886078103
33;31;16;7;0;7400;-20.610676;-24.0;-16.0;-21.0;-20.0;-19.0;1.659132;0.000000;986;77.160243;3.012778;497;1338121342031;1338886078103
33;31;16;10;0;5307;-42.282269;-47.0;-33.0;-45.0;-44.0;-40.0;3.156287;0.282838;982;76.016293;0.677089;492;1338121342031;1338886078103
33;31;16;12;0;7373;-27.129120;-33.0;-22.0;-29.0;-26.0;-25.0;2.316139;0.003649;986;74.236308;2.207495;491;1338121342031;1338886078103
33;31;16;13;0;7370;-26.761058;-32.0;-21.0;-28.0;-27.0;-25.0;2.028506;0.004054;985;76.409137;2.123264;486;1338121342031;1338886078103
33;31;16;14;0;7345;-30.159292;-38.0;-22.0;-32.0;-30.0;-28.0;3.179275;0.007432;976;77.619877;1.520450;497;1338121342031;1338886078103
33;31;16;15;0;5201;-42.975389;-50.0;-36.0;-45.0;-42.0;-41.0;2.990396;0.297162;985;74.171574;0.882303;498;1338121342031;1338886078103
33;31;16;17;0;7400;-18.065270;-22.0;-15.0;-19.0;-18.0;-17.0;1.228435;0.000000;981;75.668705;3.933287;490;1338121342031;1338886078103
33;31;16;22;0;7392;-21.791667;-26.0;-18.0;-23.0;-21.0;-21.0;1.883754;0.001081;981;74.175331;2.979153;494;1338121342031;1338886078103
33;31;16;25;0;7391;-25.887566;-29.0;-23.0;-27.0;-26.0;-25.0;1.220571;0.001216;980;74.833673;2.920795;494;1338121342031;1338886078103
33;31;16;28;0;7316;-24.484008;-28.0;-20.0;-25.0;-24.0;-23.0;2.499299;0.011351;982;77.238289;2.872812;494;1338121342031;1338886078103
33;31;16;29;0;7365;-41.698982;-47.0;-36.0;-43.0;-42.0;-40.0;2.523750;0.004730;981;71.895005;1.107574;498;1338121342031;1338886078103
33;31;16;30;0;7131;-31.649418;-44.0;-23.0;-35.0;-31.0;-29.0;4.809375;0.036351;979;73.876404;2.647305;489;1338121342031;1338886078103
33;31;16;31;0;7352;-27.453618;-35.0;-23.0;-29.0;-27.0;-25.0;2.108671;0.006486;989;73.577351;3.163451;497;1338121342031;1338886078103
33;31;16;32;0;7372;-32.503256;-34.0;-31.0;-33.0;-33.0;-32.0;1.593252;0.003784;975;77.181538;1.833654;489;1338121342031;1338886078103
33;31;16;35;0;7383;-19.822024;-24.0;-17.0;-21.0;-20.0;-19.0;1.665959;0.002297;975;74.967179;3.641105;496;1338121342031;1338886078103
33;31;16;36;0;7222;-37.255746;-48.0;-26.0;-41.0;-37.0;-35.0;4.416525;0.024054;982;74.916497;1.301279;488;1338121342031;1338886078103
33;31;16;37;0;7398;-20.318464;-28.0;-12.0;-22.0;-20.0;-18.0;3.108156;0.000270;983;75.212614;3.484701;493;1338121342031;1338886078103
33;31;16;41;0;7400;-6.018649;-10.0;-3.0;-7.0;-6.0;-5.0;1.059101;0.000000;988;77.905870;5.029825;496;1338121342031;1338886078103
33;31;16;42;0;7209;-34.991538;-43.0;-27.0;-37.0;-34.0;-33.0;3.234724;0.025811;986;74.675456;1.954338;494;1338121342031;1338886078103
33;31;16;43;0;7400;-28.730000;-34.0;-23.0;-30.0;-29.0;-27.0;2.755391;0.000000;982;76.503055;1.913920;490;1338121342031;1338886078103
33;31;16;44;0;7387;-21.924191;-26.0;-20.0;-23.0;-21.0;-21.0;1.044083;0.001757;975;74.351795;3.835468;496;1338121342031;1338886078103
33;31;16;46;0;7400;4.906081;3.0;6.0;4.0;5.0;5.0;0.772179;0.000000;980;76.854082;5.618092;495;1338121342031;1338886078103
33;31;16;47;0;7400;-12.813378;-15.0;-12.0;-14.0;-13.0;-13.0;1.414848;0.000000;979;76.762002;4.271648;498;1338121342031;1338886078103
33;31;16;48;0;7395;-22.132657;-34.0;-10.0;-25.0;-22.0;-19.0;4.470848;0.000676;987;75.422492;3.239090;490;1338121342031;1338886078103
33;31;16;50;0;7344;-36.727124;-42.0;-31.0;-38.0;-36.0;-35.0;2.795864;0.007568;982;75.037678;1.818359;496;1338121342031;1338886078103
33;31;64;4;0;7383;-16.828119;-17.0;-17.0;-17.0;-17.0;-17.0;0.814965;0.002297;990;76.484848;5.731370;482;1338121462323;1338886198381
33;31;64;5;0;7229;-36.088256;-46.0;-28.0;-39.0;-36.0;-34.0;3.143182;0.023108;980;75.438776;2.480429;487;1338121462323;1338886198381
33;31;64;6;0;7294;-33.877708;-38.0;-30.0;-35.0;-33.0;-33.0;2.295134;0.014324;986;77.563895;2.967587;494;1338121462323;1338886198381
33;31;64;7;0;7399;-20.619949;-26.0;-17.0;-22.0;-21.0;-19.0;1.564392;0.000135;973;77.965057;5.600633;492;1338121462323;1338886198381
33;31;64;10;0;5140;-42.405253;-47.0;-33.0;-45.0;-44.0;-40.0;3.071023;0.305405;982;76.136456;1.322477;494;1338121462323;1338886198381
33;31;64;12;0;7352;-27.080250;-35.0;-23.0;-29.0;-26.0;-25.0;2.378275;0.006486;975;74.712821;4.170345;492;1338121462323;1338886198381
33;31;64;13;0;7337;-26.705057;-32.0;-21.0;-28.0;-26.0;-25.0;2.078599;0.008514;986;76.947262;4.201191;499;1338121462323;1338886198381
33;31;64;14;0;7315;-30.267532;-36.0;-25.0;-32.0;-30.0;-29.0;2.943071;0.011486;987;78.152989;3.387709;490;1338121462323;1338886198381
33;31;64;15;0;4772;-42.443839;-49.0;-33.0;-45.0;-42.0;-40.0;2.930336;0.355135;974;74.249487;1.196249;487;1338121462323;1338886198381
33;31;64;17;0;7400;-18.034189;-22.0;-15.0;-19.0;-18.0;-17.0;1.161761;0.000000;975;76.048205;5.262195;494;1338121462323;1338886198381
33;31;64;22;0;7368;-21.733306;-26.0;-18.0;-23.0;-21.0;-21.0;1.878954;0.004324;984;74.631098;4.796265;492;1338121462323;1338886198381
33;31;64;25;0;7384;-25.917524;-30.0;-23.0;-27.0;-26.0;-25.0;1.266087;0.002162;988;75.173077;4.031211;487;1338121462323;1338886198381
